#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.12804,4.84E-05,18.77728,0.01531664,0.1394091,17.74446,0.008963314,0.09644254
GALAXY,0.1618144,6.17E-05,19.02202,0.01385727,0.1928262,17.77527,0.007588502,0.1333963
GALAXY,0.4537483,0.000164061,21.4617,0.08997437,0.05418344,19.78886,0.03223854,0.03748386
GALAXY,0.1496511,2.53E-05,18.3694,0.007623641,0.1128012,17.1784,0.004973872,0.07803532
GALAXY,0.09407645,3.39E-05,18.37151,0.01158934,0.1703271,17.30936,0.007299546,0.1178315
QSO,2.618842,0.000307503,20.62353,0.02750548,0.2035676,20.55845,0.0398979,0.1408271
GALAXY,0.4827323,0.000219681,22.44879,0.3169316,0.1476187,20.45716,0.07652026,0.102122
GALAXY,0.02873143,1.31E-05,17.28049,0.006431106,0.123099,16.561,0.005037447,0.08515932
GALAXY,0.07270882,1.54E-05,16.57786,0.003660815,0.1367947,15.62287,0.002859703,0.09463391
GALAXY,0.1310179,2.21E-05,17.94641,0.007729337,0.03838388,16.87776,0.004903695,0.02655379
GALAXY,0.3740598,9.27E-05,21.24489,0.07735565,0.04345106,19.39647,0.02349576,0.03005924
GALAXY,0.105538,2.20E-05,17.99962,0.007673761,0.1518833,17.13905,0.005649301,0.1050721
GALAXY,0.3574701,7.97E-05,20.64601,0.05394962,0.1038746,18.82789,0.01726698,0.07185999
QSO,2.111697,0.001103936,19.0447,0.009738844,0.07287306,18.98362,0.01106734,0.05041325
QSO,2.571888,0.000291448,20.46961,0.02346783,0.08489855,20.25031,0.02610977,0.05873242
GALAXY,0.02849914,1.58E-05,17.44166,0.005378472,0.1272182,16.67047,0.004418243,0.08800896
GALAXY,0.1960565,3.75E-05,19.11194,0.01324849,0.04069231,17.80497,0.006946214,0.02815076
GALAXY,0.08534461,1.69E-05,17.71083,0.006396317,0.06769949,16.77571,0.004552085,0.0468342
GALAXY,0.4962598,0.000239643,22.78686,0.3730031,0.04956956,21.14793,0.1250114,0.03429199
GALAXY,0.1976626,2.76E-05,19.10802,0.01883041,0.207616,17.6932,0.0084778,0.1436278
GALAXY,0.02841274,9.52E-06,16.8119,0.004499231,0.03040111,16.19204,0.003975576,0.02103135
QSO,1.87533,0.000380175,20.4109,0.02136825,0.05283681,20.42883,0.03016219,0.03655226
QSO,1.600924,0.000365265,19.46828,0.01166458,0.05751659,19.32977,0.01302622,0.03978971
GALAXY,0.1241028,3.36E-05,17.94261,0.009513226,0.1821872,17.02013,0.006492396,0.1260362
GALAXY,0.3296829,5.50E-05,20.76065,0.04285067,0.1421693,19.08038,0.01546465,0.09835204
GALAXY,0.6272234,0.000193218,21.76828,0.1276046,0.1713584,20.40403,0.05123387,0.118545
