#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.1857025,5.08E-05,20.27926,0.03302702,0.4045242,19.03009,0.01711092,0.279848
GALAXY,0.3530376,6.74E-05,20.41617,0.05136408,0.06821281,18.74046,0.01779921,0.0471893
GALAXY,0.5270418,9.89E-05,22.38628,0.1918816,0.09434251,20.59653,0.05853208,0.06526572
GALAXY,0.3979424,0.000153168,20.55792,0.06915754,0.2840845,18.78533,0.02308629,0.1965283
GALAXY,0.6132971,0.000307251,21.39559,0.2192976,0.1733137,19.90453,0.08991052,0.1198976
GALAXY,0.4252467,5.85E-05,21.29196,0.08026472,0.1449923,19.38555,0.02311297,0.100305
GALAXY,0.3796506,0.000111894,22.41358,0.2183558,0.1669442,20.70047,0.06947809,0.1154912
GALAXY,0.5207018,0.000129176,22.35098,0.2147507,0.1702912,20.59695,0.05327788,0.1178066
GALAXY,0.08594754,2.18E-05,17.73551,0.007090647,0.2267572,16.72074,0.004775353,0.1568696
GALAXY,0.3704939,8.68E-05,21.07557,0.07943416,0.2997744,19.16266,0.02322286,0.2073825
GALAXY,0.1191471,1.43E-05,17.57384,0.006398648,0.03936741,16.63219,0.004714395,0.02723419
QSO,2.394828,0.000522802,21.59155,0.0527526,0.05360859,21.73227,0.09384827,0.03708617
QSO,2.835478,0.000363606,19.03116,0.01064531,0.08869813,18.89552,0.01165516,0.06136095
GALAXY,0.4475621,9.92E-05,21.20506,0.1053447,0.1194686,19.53099,0.03576816,0.08264784
GALAXY,0.07138645,3.78E-05,18.07831,0.009790926,0.1172912,17.22068,0.007305414,0.08114152
GALAXY,0.0668576,8.62E-06,17.0965,0.005732131,0.1064384,16.45397,0.004839721,0.07363362
QSO,0.7240548,0.2627611,22.39019,0.1152619,0.1696623,21.73291,0.08868107,0.1173716
GALAXY,0.3437624,9.32E-05,21.44626,0.08824751,0.1370887,19.46261,0.02236731,0.09483733
GALAXY,0.5799395,0.00019851,21.94168,0.1560869,0.1129799,20.66096,0.07979874,0.078159
QSO,0.916071,0.000295674,19.29613,0.01258042,0.1772085,19.10373,0.01274682,0.122592
QSO,1.871305,0.000318299,19.30308,0.0126892,0.1589185,19.14062,0.01315591,0.1099391
QSO,1.321511,0.000129473,16.97542,0.004230577,0.08211973,16.71993,0.004369409,0.05681004
GALAXY,0.1098884,2.70E-05,17.0571,0.007339144,0.09268127,16.01001,0.004857689,0.06411647
GALAXY,0.6136358,0.000158364,22.23128,0.2701571,0.1953532,20.41953,0.07982648,0.1351444
GALAXY,0.05607055,1.69E-05,16.8722,0.005193904,0.1216733,15.90314,0.003743742,0.08417303
GALAXY,0.2865797,4.06E-05,19.90904,0.02574253,0.1157832,18.41264,0.01123052,0.08009829
GALAXY,0.7482846,0.000167318,20.86066,0.03032933,0.1515944,20.54747,0.03081737,0.1048723
GALAXY,0.5470278,0.00013156,21.64387,0.1516174,0.1228364,19.83308,0.04742622,0.08497766
GALAXY,0.3344652,7.19E-05,20.45814,0.03680781,0.07779897,18.76411,0.01292527,0.05382097
GALAXY,0.1736871,1.60E-05,18.14779,0.01055731,0.02553719,17.28676,0.006786044,0.01766651
GALAXY,0.5045422,0.000208862,23.35986,0.3320143,0.1921293,21.14204,0.06824971,0.1329142
QSO,1.609695,0.000564236,19.44624,0.01172863,0.1377237,19.3981,0.01324795,0.09527663
GALAXY,0.09975446,2.57E-05,18.66142,0.009027457,0.1390222,17.70534,0.006224759,0.09617494
GALAXY,0.1913374,4.44E-05,19.14845,0.01397356,0.1446849,17.83949,0.007781297,0.1000924
GALAXY,0.5198545,0.000159264,21.79262,0.1452706,0.07083096,20.02121,0.04667002,0.04900052
GALAXY,0.2756119,2.92E-05,20.97746,0.07927071,0.2014001,19.88781,0.04268292,0.1393276
GALAXY,0.5672034,0.000167917,21.86858,0.09851046,0.09534751,20.6677,0.04478934,0.06596097
GALAXY,0.3953621,6.69E-05,21.34838,0.07962209,0.1096084,19.42845,0.02249527,0.07582662
GALAXY,0.7887887,4.16E-05,22.66113,0.1590205,0.0452621,22.16405,0.1411975,0.03131211
QSO,2.197242,0.000450325,19.95411,0.01641397,0.07836834,19.98297,0.02236632,0.05421485
GALAXY,0.5716331,0.000170075,21.69141,0.09620689,0.09114787,20.60656,0.05373508,0.06305567
QSO,0.4838037,7.16E-05,17.84517,0.005385452,0.06762151,17.82226,0.005948739,0.04678025
GALAXY,0.06479508,8.75E-06,17.48443,0.00627513,0.06655209,17.04786,0.00608435,0.04604042
GALAXY,0.4609471,0.000173296,21.0791,0.07696715,0.04261195,19.85156,0.03828546,0.02947875
GALAXY,0.4755262,0.000140896,21.76911,0.1048157,0.03710541,20.20493,0.0410084,0.02566935
GALAXY,0.08571646,1.44E-05,16.99835,0.005214114,0.315349,16.19741,0.004001598,0.218157
GALAXY,0.6247898,0.000169811,22.24197,0.1617121,0.1062323,20.66067,0.05922534,0.07349101
GALAXY,0.3163164,6.25E-05,20.14088,0.03687811,0.1314259,18.58401,0.014264,0.09091981
GALAXY,0.06367195,1.27E-05,18.24016,0.01301275,0.132714,17.77393,0.01195653,0.09181091
QSO,2.432862,0.000278009,18.7334,0.008465034,0.2227129,18.70431,0.00970153,0.1540718
GALAXY,0.2482069,2.05E-05,20.09954,0.02476628,0.186094,19.10196,0.01530308,0.1287389
GALAXY,0.8092545,6.96E-05,22.69302,0.1457392,0.1299133,22.39128,0.1468991,0.08987344
GALAXY,0.5008039,0.000186185,22.04833,0.2410998,0.1670887,19.99026,0.05526361,0.1155912
GALAXY,0.5222359,0.000133565,22.46181,0.2018826,0.09679644,20.53592,0.05602367,0.06696333
GALAXY,0.1696964,1.58E-05,18.79372,0.01637646,0.06992685,18.01737,0.01344505,0.04837507
GALAXY,0.6434751,0.000332162,24.55509,1.093122,0.07124864,21.9602,0.222701,0.04928948
GALAXY,0.04393075,1.33E-05,17.58986,0.006949842,0.06627929,17.12835,0.007392739,0.04585171
GALAXY,0.7907709,0.000191941,23.10806,0.2619712,0.112227,21.57948,0.1011849,0.0776381
QSO,1.871679,0.000502537,21.55136,0.0608594,0.03500891,21.60375,0.08471865,0.02421901
GALAXY,0.6712314,0.000190683,22.06469,0.1616477,0.04086445,20.54731,0.07029662,0.02826984
QSO,1.301589,0.001042445,20.51165,0.02368921,0.03965243,20.22876,0.02676166,0.02743137
GALAXY,0.13583,1.21E-05,18.12953,0.008239208,0.1457631,17.34396,0.006167249,0.1008382
GALAXY,0.155795,2.68E-05,18.32806,0.01243859,0.03105748,17.55568,0.008868055,0.02148542
GALAXY,0.1950325,3.29E-05,19.14075,0.01169384,0.05821745,17.89689,0.007206055,0.04027456
GALAXY,0.1478314,2.94E-05,18.54116,0.009698376,0.05297851,17.42358,0.006035558,0.03665029
GALAXY,0.4290839,0.000103285,21.73002,0.07154322,0.03120416,20.23232,0.03033906,0.02158689
GALAXY,0.7188011,0.000217835,22.8637,0.209032,0.03210654,21.58801,0.1148476,0.02221115
GALAXY,0.214697,3.83E-05,18.95533,0.01187773,0.04025183,17.66553,0.006956191,0.02784603
GALAXY,0.304617,6.23E-05,20.55776,0.04001368,0.0387574,18.9143,0.01722737,0.02681219
QSO,0.8407184,0.000388684,21.67747,0.05172646,0.1020112,21.82294,0.08617167,0.07057087
GALAXY,0.06240694,7.18E-06,19.05551,0.01043173,0.02363591,18.8149,0.01103772,0.01635121
GALAXY,0.6222496,0.000116531,22.36414,0.1611588,0.02338134,20.86223,0.06407057,0.0161751
GALAXY,0.6062819,6.74E-05,22.18966,0.1104876,0.04668702,21.20775,0.06932892,0.03229786
QSO,0.6978092,0.000105346,20.84831,0.02979884,0.02548077,19.96386,0.01924718,0.01762748
QSO,1.69574,0.001503094,22.1984,0.07477099,0.03909377,22.39903,0.1225102,0.02704489
QSO,0.9868506,0.000197682,21.64408,0.04910882,0.06121105,21.31277,0.04898656,0.04234552
GALAXY,0.5377008,0.000137014,20.28877,0.06283076,0.07560288,19.45614,0.0431466,0.05230172
GALAXY,0.2898868,2.37E-05,20.04212,0.02698451,0.08316966,18.49798,0.01127928,0.05753639
GALAXY,0.550267,0.000196006,22.20616,0.1848156,0.2043084,20.51732,0.05672463,0.1413396
QSO,2.106721,0.000129649,18.95421,0.009523288,0.131821,18.86589,0.01022103,0.09119315
GALAXY,0.2282178,3.84E-05,19.47934,0.02059774,0.09693772,17.99571,0.00917734,0.06706106
