class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.3472175,6.645809e-05,20.72491,0.05313918,0.2966017,18.86063,0.01832847,0.2051877
GALAXY,0.04384198,8.419602e-06,16.40576,0.003523393,0.16225309999999998,15.31334,0.002679757,0.11224589999999998
GALAXY,0.7215064999999999,0.0002201906,23.68864,0.7507402,0.3532393,20.82101,0.09534932,0.24436929999999998
GALAXY,0.05118709,1.4449260000000001e-05,17.80767,0.00578284,0.21768400000000002,16.94828,0.004413282,0.1505928
QSO,2.3788810000000002,0.00021621240000000002,20.49902,0.02297378,0.1105828,20.50552,0.0312616,0.07650064
GALAXY,0.5836852,0.00028208840000000003,22.48292,0.2047724,0.1697052,20.66327,0.07289427,0.11740129999999999
GALAXY,0.4931644,9.323586999999999e-05,22.231279999999998,0.1008016,0.1575656,20.63893,0.03937294,0.1090032
GALAXY,0.1919537,3.748975e-05,18.812079999999998,0.01359556,0.2480561,17.41183,0.006742068,0.1716041
GALAXY,0.11535,1.091384e-05,18.145039999999998,0.008566376,0.1917694,17.63919,0.008039094,0.1326652
GALAXY,0.7195609000000001,0.0002280157,24.57682,1.339849,0.11499360000000002,21.30842,0.1495865,0.07955205
GALAXY,0.5042405,0.00016967439999999998,21.759870000000003,0.1149195,0.2778325,20.28313,0.04670374,0.1922033
GALAXY,0.22180070000000002,3.9218720000000006e-05,21.00487,0.06076191,0.351231,19.71582,0.03069448,0.24298000000000003
GALAXY,0.08326045,2.204279e-05,17.356460000000002,0.0061856,0.08339872,16.523629999999997,0.004987231,0.05769485
QSO,0.5792779,0.0001382308,20.52395,0.04291994,0.1036174,20.04235,0.04418613,0.07168204
QSO,0.9501511999999999,0.0001608606,20.24634,0.02090542,0.02894304,19.953039999999998,0.02188969,0.02002266
GALAXY,0.1007602,7.107637999999999e-06,18.150479999999998,0.00934049,0.04387543,17.40772,0.007022139,0.03035282
QSO,1.2822120000000001,0.001090214,21.209889999999998,0.04075824,0.07010659,20.96356,0.04723512,0.04849941
QSO,1.0857620000000001,0.00025109810000000003,20.87484,0.03432465,0.07179622,20.64547,0.03995981,0.04966829
GALAXY,0.3282942,0.00010979959999999998,21.92411,0.1010075,0.05710197,20.24341,0.03366649,0.03950288
GALAXY,0.1203131,2.4132889999999997e-05,17.91769,0.009546006,0.09084679,17.16897,0.007560548,0.06284739
QSO,1.0814030000000001,0.0006254324,22.00526,0.07478368,0.05529885,21.12646,0.05141984,0.03825549
GALAXY,0.5962896,0.0001893456,22.78041,0.2037886,0.06646307,21.1046,0.07424106,0.04597884
