class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.6065798000000001,0.000123192,22.68881,0.1688656,0.08946688,21.05777,0.05957527,0.06189277
GALAXY,0.48012920000000003,0.0001694179,22.618000000000002,0.2031508,0.15916789999999997,20.47346,0.04495225,0.1101116
GALAXY,0.05830569,1.951423e-05,17.36019,0.004929134,0.4184661,16.38565,0.003691046,0.2894929
GALAXY,0.09509806,3.252604e-05,17.46452,0.006881989,0.08131932,16.709239999999998,0.005532778,0.05625633
GALAXY,0.13839100000000001,3.527337e-05,18.460820000000002,0.009446308,0.07430666,17.48179,0.006472958000000001,0.05140499999999999
GALAXY,0.5547271,0.0001479966,22.51266,0.2251127,0.1398598,20.52821,0.05921719,0.09675436
QSO,2.204487,0.0007483909,20.63158,0.02322056,0.20497070000000003,20.398329999999998,0.02634335,0.14179779999999997
GALAXY,0.1717328,2.381443e-05,19.94872,0.03017755,0.4451379,19.00245,0.01861935,0.30794440000000006
QSO,0.8746096999999999,7.934279e-05,21.00274,0.04029864,0.1664858,20.738570000000003,0.03959722,0.1151741
GALAXY,0.5375831999999999,0.00012875309999999999,22.07124,0.18645309999999998,0.12258800000000002,20.36209,0.06057985,0.08480584
GALAXY,0.1522875,1.624026e-05,18.2709,0.01035927,0.1171328,17.68644,0.009102055,0.08103189999999999
GALAXY,0.5595798000000001,0.0001782616,22.58983,0.2354157,0.21800970000000003,20.82391,0.07197826,0.1508181
GALAXY,0.5387557,0.0001463024,22.415329999999997,0.16231379999999998,0.28679140000000003,20.9363,0.06930183,0.1984009
GALAXY,0.1495884,1.7577260000000003e-05,18.18574,0.011317299999999999,0.1196691,17.040429999999997,0.006310419,0.08278656
GALAXY,0.503525,0.0001372009,20.98219,0.08457678,0.1025593,19.3487,0.03134734,0.07095004
GALAXY,0.1256712,1.4723959999999999e-05,18.24691,0.009783445,0.07607272,17.45158,0.007038629,0.05262675
GALAXY,0.06356397,1.254781e-05,17.645570000000003,0.007143956,0.11909449999999999,16.911089999999998,0.005811831,0.08238903
GALAXY,0.6379670000000001,0.000147153,21.55629,0.09841191,0.07858825,20.70675,0.07039756,0.05436698
GALAXY,0.5074141,0.0001276973,23.03784,0.3002087,0.15855379999999997,20.63241,0.05312982,0.10968679999999999
GALAXY,0.6051510999999999,0.00017869700000000001,21.67545,0.11865969999999999,0.03798401,20.782320000000002,0.07885862,0.02627716
GALAXY,0.5642666000000001,0.0001649396,22.4663,0.21846300000000002,0.02269902,20.488529999999997,0.05690732,0.01570307
QSO,0.6025756,6.435675e-05,19.63266,0.01458944,0.09012395,19.46189,0.01721498,0.06234733
QSO,1.296092,0.0005775348,20.21717,0.02271459,0.18068879999999998,19.92275,0.02372274,0.1249997
GALAXY,0.5259832,0.000203941,22.34316,0.13871589999999998,0.03527827,20.618479999999998,0.04677995,0.02440535
QSO,2.176539,0.00037660389999999997,20.52521,0.02380337,0.1059991,20.49065,0.03472982,0.07332972
GALAXY,0.4416442,0.0001433082,21.94678,0.09291175,0.04119231,20.30544,0.03735162,0.02849665
GALAXY,0.710658,6.806078000000001e-05,21.69578,0.07082164,0.07479624,20.58294,0.04485976,0.05174369
GALAXY,0.5751259,0.0001474785,22.82102,0.2088992,0.048130900000000004,20.75185,0.05525929,0.03329673
