class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.1031646,7.420232e-06,17.45983,0.006702543,0.14475629999999998,16.9766,0.006196919,0.10014169999999999
QSO,0.5561173,7.921031e-05,18.37405,0.0066265690000000006,0.14344110000000002,18.45823,0.008030866999999999,0.09923189
GALAXY,0.4743394,0.00017980830000000002,21.543210000000002,0.1263915,0.1006242,19.914170000000002,0.04869426,0.06961136
GALAXY,0.5173565999999999,0.0001545723,21.54074,0.10299460000000002,0.1348556,20.28349,0.054060000000000004,0.0932925
GALAXY,0.16933499999999999,3.503368e-05,20.32302,0.03048422,0.04358255,18.54318,0.010656700000000002,0.03015021
QSO,3.4256260000000003,0.0009882081,20.766939999999998,0.02935708,0.08232863,20.207829999999998,0.02739166,0.05695457
QSO,1.094558,0.0004344035,21.47511,0.05141623,0.19577060000000002,21.235120000000002,0.0535442,0.1354332
GALAXY,0.26244179999999995,4.2221530000000004e-05,19.17385,0.02331433,0.05702081,17.65642,0.009848844,0.03944673
GALAXY,0.5225261,0.0001335718,21.89825,0.12378499999999999,0.07822244,20.33103,0.04944339,0.05411392
GALAXY,0.4312665,0.00011052030000000001,20.85529,0.07637689999999998,0.03824051,19.17491,0.02732049,0.02645461
GALAXY,0.2906928,5.110798e-05,19.95218,0.04263952,0.166972,18.45117,0.01824171,0.1155104
GALAXY,0.3384688,0.0001021871,20.854879999999998,0.07612311,0.1619628,19.05422,0.0239511,0.11204510000000001
GALAXY,0.211853,2.6736440000000003e-05,19.19412,0.01681328,0.1587306,17.74906,0.008541896,0.1098091
GALAXY,0.5882895,0.0002764445,22.30247,0.2071341,0.040099300000000004,20.54691,0.07214947,0.02774051
GALAXY,0.6069806,0.0001443619,21.43413,0.09622215,0.07079477,20.37248,0.06344581,0.04897549
GALAXY,0.48457510000000004,0.0002385693,22.6636,0.1754352,0.08719631,20.96313,0.06370963,0.06032201
GALAXY,0.5656486,0.0001393011,21.896420000000003,0.12212490000000001,0.03544227,20.15671,0.04120754,0.0245188
GALAXY,0.07797278,1.776876e-05,18.54419,0.01229407,0.0713245,17.77637,0.009597742,0.04934196
QSO,0.2901586,2.679139e-05,19.60482,0.01805682,0.06882126,18.83719,0.01382746,0.04761023
QSO,2.889584,0.0002950981,19.80815,0.01810696,0.10931410000000001,19.56684,0.01741028,0.07562297
QSO,2.788131,0.0003374277,18.57141,0.007835374,0.09923735,18.38811,0.008219411999999999,0.06865194
GALAXY,0.6064053,0.0001699994,21.77391,0.1728293,0.1733767,20.42375,0.07667994,0.1199412
GALAXY,0.3659074,9.02615e-05,20.4131,0.03834466,0.115076,18.6917,0.01382985,0.07960907
GALAXY,0.7300466999999999,0.0002723669,23.415010000000002,0.3856034,0.1214827,21.52102,0.10744089999999999,0.08404116
QSO,0.6684671,0.0006148646,20.74286,0.03130803,0.05511952,20.69709,0.04348567,0.03813143
QSO,0.7140167,0.000146325,20.3191,0.02280865,0.06078333,20.08141,0.02347654,0.04204963
GALAXY,0.009312535,6.841304e-06,15.91857,0.003746642,0.07415255,15.455739999999999,0.00346352,0.05129839
GALAXY,0.5783057,0.0002026384,21.95819,0.1495055,0.07834684,20.67785,0.07559925,0.05419998
QSO,2.157025,0.0002007416,19.47937,0.01253539,0.05319538,19.53683,0.01515092,0.03680031
GALAXY,0.0002304041,5.849244e-06,17.123720000000002,0.0046875020000000005,0.18379020000000001,16.432760000000002,0.004339196,0.12714519999999999
GALAXY,0.3303643,9.782273000000001e-05,20.54031,0.06010434,0.02816102,18.79297,0.01982814,0.01948166
GALAXY,0.05914887,1.5424549999999998e-05,17.37336,0.005481766,0.04656389,16.47204,0.00400437,0.03221268
QSO,2.248418,0.0006164377,21.01251,0.03502563,0.04488273,21.040020000000002,0.04910898,0.03104967
GALAXY,0.4095435,7.358029999999999e-05,20.83652,0.0548885,0.01831363,19.22963,0.02075318,0.01266928
GALAXY,0.07636849,7.584988e-06,17.72147,0.00781226,0.05194817,17.3388,0.007327101,0.03593751
GALAXY,0.3727778,0.00018014540000000002,21.450879999999998,0.09446284,0.09009863,20.0762,0.04348686,0.06232981
GALAXY,0.37362399999999996,9.77797e-05,20.46826,0.04251744,0.02695044,18.6067,0.0152404,0.01864419
GALAXY,0.7352443000000001,0.0003560824,25.11976,0.9646325000000001,0.03253016,21.78358,0.1580339,0.02250421
GALAXY,0.05929312,1.5674029999999998e-05,17.42268,0.00640463,0.1618203,16.5415,0.004648457,0.11194649999999999
GALAXY,0.09266814,2.011171e-05,17.463720000000002,0.005394586999999999,0.09808982,16.45318,0.003881285,0.06785809
GALAXY,0.7304009,0.0001556668,22.74523,0.33525859999999996,0.1290221,20.79162,0.08337241,0.08925686
GALAXY,0.45242209999999994,0.00010700299999999999,21.417070000000002,0.09059263,0.12303210000000002,19.650579999999998,0.02839582,0.08511302
GALAXY,0.11710350000000001,1.4371670000000001e-05,17.84346,0.007027014,0.09651953,16.80917,0.004682431,0.06677176
GALAXY,0.22546950000000002,1.480055e-05,18.14839,0.009313866,0.03879463,17.30763,0.007093426999999999,0.02683794
GALAXY,0.7959666,0.0004071509,23.65213,0.45516260000000003,0.04231261,21.762710000000002,0.15797,0.02927167
GALAXY,0.3503671,0.0001068175,20.47907,0.05400818,0.1314171,18.77027,0.0187136,0.09091371
GALAXY,0.5408970000000001,0.0001340177,21.3095,0.0760871,0.04461478,20.20119,0.03941307,0.030864299999999997
GALAXY,0.4889933,0.0001320095,22.260070000000002,0.11789360000000002,0.0402864,20.66775,0.04142554,0.02786994
QSO,0.9594572,0.0003069344,19.8454,0.01513448,0.04770314,19.68901,0.01797389,0.03300081
GALAXY,0.5470648,0.0001388656,21.94878,0.1151358,0.121906,20.59694,0.04603702,0.08433403
GALAXY,0.1300103,2.397373e-05,18.83221,0.01328577,0.1684906,17.92892,0.008815403000000001,0.11656099999999998
GALAXY,0.11490039999999999,1.8450479999999998e-05,18.05193,0.0076002280000000005,0.09009086,16.98602,0.0049994209999999996,0.06232444
QSO,3.617207,0.0003428695,20.796789999999998,0.03122577,0.1507249,19.62227,0.01822205,0.10427080000000001
GALAXY,0.5187831,0.0001447312,22.40175,0.1674059,0.1051011,20.773789999999998,0.056265199999999994,0.07270848
GALAXY,0.658247,0.9261543999999999,22.14149,0.1361027,0.1361786,20.6942,0.06030646,0.0942077
GALAXY,0.2618842,3.843296e-05,19.82111,0.02297328,0.06762787,18.331789999999998,0.009912574,0.04678465
GALAXY,0.43964949999999997,0.0001471906,21.535079999999997,0.1130039,0.03430562,19.8252,0.03890824,0.02373247
GALAXY,0.14107139999999999,2.211791e-05,18.09241,0.008457006999999999,0.03210952,17.0513,0.005524064,0.02221322
QSO,1.176583,0.00046692730000000006,19.92783,0.018454599999999998,0.04390127,19.70166,0.01876056,0.0303707
GALAXY,0.4305027,0.0001250984,22.11926,0.1433096,0.12357539999999999,20.15626,0.03573539,0.08548889999999999
QSO,2.156278,0.0007053567,20.4378,0.02179833,0.053214599999999994,20.23864,0.02448604,0.03681361
GALAXY,0.1677804,1.8768610000000003e-05,18.33801,0.009862412,0.05049249,17.52238,0.007368014,0.03493047
GALAXY,0.5487194999999999,9.351732e-05,22.22302,0.13309479999999999,0.1509947,20.43115,0.04473953,0.10445739999999998
QSO,1.923252,0.0005851182,21.57929,0.05057558,0.06301761,21.58294,0.09378839,0.043595300000000003
