class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.04280575,1.4064410000000001e-05,15.8834,0.003301177,0.1551201,15.001870000000002,0.0026634159999999996,0.1073114
GALAXY,0.08196013,1.336464e-05,17.89166,0.007344713,0.09369916,17.12134,0.005693658000000001,0.06482065
GALAXY,0.03434044,9.230437e-06,16.9663,0.004757933,0.1483692,16.43546,0.004381889,0.1026411
GALAXY,0.3295006,5.513559e-05,19.84198,0.0236467,0.08891597,18.13007,0.009333287,0.06151165
GALAXY,0.4488537,0.00011408860000000001,20.60865,0.05776222,0.1062932,18.753829999999997,0.01732267,0.07353318
GALAXY,0.08370721,1.616309e-05,17.29581,0.005068828,0.3360762,16.2774,0.003674442,0.23249589999999998
GALAXY,0.4959766,0.0001914136,21.76521,0.09793660000000001,0.09531114,20.20175,0.04142907,0.06593581
GALAXY,0.09082819,1.1414669999999999e-05,20.79513,0.06650717,0.283828,20.427570000000003,0.07385097,0.1963509
GALAXY,0.5066385,7.850766999999999e-05,21.38891,0.07550405,0.1160767,19.70482,0.02936666,0.08030136
GALAXY,0.09017649,2.424399e-05,18.16733,0.008513711,0.1182112,17.28905,0.006454134,0.08177796
GALAXY,0.3031994,6.710521e-05,20.61099,0.06232483,0.3230107,18.913520000000002,0.02271541,0.2234573
GALAXY,0.08300818,1.709102e-05,17.54682,0.0055175580000000005,0.07827058,16.65364,0.004304946,0.05414722
GALAXY,0.4854099,0.00010801530000000001,21.046689999999998,0.09860424,0.1416116,19.51481,0.03936457,0.09796622
GALAXY,0.42239259999999995,8.397493e-05,21.727339999999998,0.140233,0.04305675,19.91865,0.0424304,0.02978646
QSO,2.789641,0.0010077439999999999,21.62838,0.05998107,0.08017319,21.572979999999998,0.08973386,0.05546344
GALAXY,0.05382016,2.2562849999999997e-05,18.38539,0.00856175,0.1220223,17.57487,0.006640969,0.0844145
QSO,0.6281831999999999,0.0001227885,20.8861,0.03279051,0.13709749999999998,20.66912,0.03682002,0.0948434
QSO,1.335175,0.0005023603,21.848229999999997,0.07799047,0.08216825,21.36935,0.06898417,0.05684362
GALAXY,0.1766978,2.6957490000000003e-05,18.82457,0.01070643,0.07687426,17.53069,0.00615284,0.05318126
QSO,1.5020799999999999,0.0004506874,20.06665,0.01874335,0.06304828,19.76665,0.01954309,0.04361651
GALAXY,0.1049589,6.657751e-05,18.2724,0.009070745,0.0397848,17.56852,0.006916866999999999,0.02752294
GALAXY,0.46446850000000006,0.0001856789,21.14154,0.06846606,0.02882702,19.75432,0.03137928,0.0199424
GALAXY,0.4796492,8.521646999999998e-05,21.70747,0.11422239999999999,0.04661852,19.73166,0.03155004,0.03225048
GALAXY,0.1169089,1.902428e-05,20.98453,0.04048117,0.05049261,20.52447,0.04075065,0.03493056
GALAXY,0.6490214,0.0001512377,22.97129,0.21931979999999998,0.169625,21.14585,0.06409358,0.11734580000000001
GALAXY,0.4860589,0.0001203603,22.39388,0.16289189999999998,0.1637121,20.366,0.04245999,0.11325530000000002
GALAXY,0.1009949,2.7471999999999997e-05,17.85139,0.007571995,0.1437825,16.8546,0.005168068,0.09946806
QSO,2.039068,0.0006446391,21.33251,0.0484763,0.1613368,21.1555,0.05356783,0.11161199999999999
GALAXY,0.4997101,0.0001353636,21.69042,0.1384154,0.1263855,20.61515,0.08099965,0.0874329
GALAXY,0.08253207,1.022912e-05,17.76677,0.008323869,0.1222501,17.17287,0.007134872,0.08457208
GALAXY,0.41247970000000006,0.0001040963,21.14174,0.05590666,0.03676149,19.41928,0.02050873,0.02543143
GALAXY,0.5175737,0.000213058,22.21696,0.1804297,0.136382,20.77058,0.07545173,0.09434845
GALAXY,0.1047425,2.5677970000000002e-05,17.74144,0.007694532,0.06949181,16.78704,0.005180449,0.04807411
GALAXY,0.1140617,1.875638e-05,17.82806,0.008881372,0.1178228,17.07285,0.006796885,0.08150928
GALAXY,0.4925889,5.1778249999999995e-05,22.10869,0.1595214,0.08174945,20.428079999999998,0.04906621,0.05655389
QSO,1.803737,0.0007971664,19.6413,0.01477913,0.12500930000000002,19.60416,0.018246099999999998,0.08648084
GALAXY,0.3740843,0.00010649889999999999,20.441760000000002,0.0527581,0.23278720000000003,18.58509,0.01645859,0.1610411
GALAXY,0.27299,5.359651999999999e-05,19.5779,0.0289361,0.09510992,18.10324,0.01303802,0.06579661
GALAXY,0.08278522,5.589704e-06,17.62375,0.006479196,0.1006434,17.40938,0.006842496,0.06962463
GALAXY,0.05199225,1.9624360000000002e-05,17.85716,0.007245781999999999,0.06898995,17.00589,0.005713101,0.04772693
GALAXY,0.1654011,2.961442e-05,17.82301,0.008503372,0.09182084,16.65883,0.005310573000000001,0.06352124
QSO,1.857798,0.0019232239999999999,22.02423,0.07582893,0.10291199999999999,21.978679999999997,0.09400904,0.07119404
GALAXY,0.1218735,3.789935e-05,18.444229999999997,0.01562489,0.3068875,17.73422,0.01238099,0.2123034
GALAXY,0.16752279999999997,3.0434759999999996e-05,18.23264,0.01204082,0.10760630000000002,17.02905,0.006731555,0.07444156
GALAXY,0.12421600000000001,2.452182e-05,17.64384,0.0074013759999999994,0.1167633,16.60546,0.00525777,0.08077633
GALAXY,0.4470615,8.775136e-05,21.08689,0.0715963,0.02866174,19.25498,0.02234888,0.01982806
GALAXY,0.04518814,2.1246439999999996e-05,17.16333,0.006290346,0.03188833,16.33108,0.004903417,0.022060200000000002
QSO,2.105664,0.0010420730000000001,21.83928,0.07100959,0.02278586,21.584229999999998,0.10167419999999999,0.01576316
GALAXY,0.1049079,1.956391e-05,17.425829999999998,0.0075901119999999996,0.19526459999999998,16.55552,0.005091903,0.1350831
GALAXY,0.39419679999999996,7.667472e-05,21.55346,0.1081673,0.1793023,19.59783,0.02872763,0.1240405
QSO,3.2999160000000005,0.000499903,20.55462,0.02633971,0.1190775,20.14588,0.0240699,0.08237725
QSO,1.357424,0.001822319,21.96258,0.07181428,0.05889358,21.69528,0.08815515,0.0407423
GALAXY,0.2064873,1.757447e-05,18.77532,0.009482045,0.08618005,18.1052,0.007754739,0.05961895
GALAXY,0.06095707,7.912716e-06,16.80411,0.004351451,0.1875374,15.894120000000001,0.0032364570000000003,0.1297375
GALAXY,0.3539906,0.0001442566,21.76546,0.09364682,0.1657889,20.149079999999998,0.03539784,0.114692
QSO,2.1579770000000003,0.00036879910000000004,20.32033,0.02055247,0.1509049,20.21734,0.02334925,0.1043953
GALAXY,0.1628818,3.0975419999999996e-05,18.300710000000002,0.01122263,0.1649008,17.18542,0.006306645,0.1140776
GALAXY,0.5124115,0.0001103427,21.666179999999997,0.09339024,0.09628558,20.04636,0.03204604,0.06660992
GALAXY,0.5817515000000001,0.0001481691,22.16296,0.1282298,0.08782648,20.6247,0.05052119,0.06075795
GALAXY,0.3584333,8.537408999999999e-05,20.84221,0.04771606,0.1266318,19.03589,0.01622227,0.0876033
GALAXY,0.9633366,0.0001826701,22.04482,0.1428819,0.04179913,21.14931,0.09902280000000001,0.02891644
GALAXY,0.06844361,2.554377e-05,18.17876,0.007478543000000001,0.1461549,17.28656,0.005428509000000001,0.10110930000000001
GALAXY,0.215534,4.5011419999999995e-05,18.68117,0.01403536,0.1253363,17.453960000000002,0.007704447,0.08670709
GALAXY,0.5472732,0.0002071569,21.15297,0.11168789999999999,0.160437,20.15021,0.07136589,0.1109896
GALAXY,0.09835269,1.232727e-05,17.20117,0.00528333,0.10363510000000001,16.23464,0.0037860990000000002,0.07169425
GALAXY,0.03353096,6.948782e-06,17.49144,0.005461619,0.10667089999999999,17.059839999999998,0.005258377,0.07379442
