class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.5578466999999999,0.0001573824,22.729210000000002,0.1862376,0.515011,20.95052,0.05922998,0.3562822
GALAXY,0.28720009999999996,6.052269e-05,21.031589999999998,0.04079365,0.06305752,19.25446,0.01454138,0.043622900000000006
QSO,2.804247,0.0003897599,19.7382,0.01435246,0.1134433,19.60055,0.01550941,0.07847955
GALAXY,0.7125570999999999,0.00021246159999999999,23.19582,0.8050483,0.23818899999999998,20.52988,0.120322,0.164778
GALAXY,0.3088762,5.9731599999999996e-05,19.768639999999998,0.03131163,0.06705204,18.099120000000003,0.01276633,0.04638629
GALAXY,0.5782048000000001,0.0002324108,22.70395,0.17980829999999998,0.1846329,21.00011,0.05931697,0.1277282
GALAXY,0.02043436,3.1624229999999997e-05,17.53175,0.00831461,0.09157787,16.79027,0.006395471,0.06335314
QSO,1.6465029999999998,0.001790283,21.78424,0.07266068,0.06237432,21.676389999999998,0.08212949,0.04315027
GALAXY,0.1727173,7.382249e-06,18.21539,0.007558408000000001,0.06387073,17.57033,0.006424771,0.04418547
GALAXY,0.2585209,4.5141229999999996e-05,19.53039,0.01845525,0.05394546,18.01241,0.008860918,0.03731922
GALAXY,0.4604907999999999,0.0002455718,22.648979999999998,0.1892241,0.1048552,20.9302,0.05908747,0.07253835
QSO,0.12890710000000002,4.050777e-05,16.87334,0.004314153,0.10720489999999999,16.42128,0.004065213,0.07416388
GALAXY,0.7348477,7.070305000000001e-05,21.34385,0.07010385,0.1808891,20.42643,0.04558426,0.1251383
GALAXY,0.11466559999999999,1.799191e-05,19.14675,0.01546556,0.1537646,18.160729999999997,0.01012846,0.10637360000000001
GALAXY,0.44290290000000004,0.000111733,22.12173,0.1039076,0.06328029,20.65164,0.04622909,0.04377702
GALAXY,0.8776927999999999,0.0002022531,22.45123,0.20726929999999996,0.142337,20.91515,0.07775402,0.09846808
GALAXY,0.46859890000000004,0.0001257866,21.91369,0.12059769999999999,0.1563211,20.1144,0.03901676,0.10814220000000001
GALAXY,0.5409819,0.0001511935,22.192829999999997,0.13152339999999998,0.1597291,20.48761,0.0433517,0.11049980000000001
GALAXY,0.31279309999999994,7.628543000000001e-05,21.51587,0.08276938,0.09597026,20.12044,0.03744119,0.06639178
QSO,1.00156,0.0003604913,18.31756,0.006767121,0.10625,18.110870000000002,0.007492271,0.07350323
GALAXY,0.5390808000000001,0.0002001943,22.607960000000002,0.22521239999999998,0.04363376,20.95836,0.08310156,0.03018563
GALAXY,0.13332170000000002,2.2143779999999998e-05,21.27584,0.05100564,0.04832414,20.72353,0.04556612,0.03343042
GALAXY,0.10234249999999999,1.7201370000000002e-05,17.53171,0.005244995,0.05177468,16.57659,0.003898586,0.03581748
QSO,2.225443,0.0002726871,20.30038,0.02168187,0.1517192,20.25079,0.02649206,0.1049586
GALAXY,0.5376754,0.0001734611,21.53696,0.10396210000000002,0.0760882,20.4869,0.06078095,0.05263746
GALAXY,0.02480617,6.062592e-06,16.677310000000002,0.0037600420000000003,0.08401006,16.18966,0.00353259,0.05811777
GALAXY,0.09880166,1.128503e-05,18.44602,0.008438705,0.04572527,17.780739999999998,0.006887956999999999,0.03163253
GALAXY,0.09975766,1.2404790000000001e-05,17.87185,0.0076042259999999995,0.0459678,17.25982,0.006432076,0.03180031
QSO,0.6736354999999999,0.0001700764,20.312260000000002,0.02062225,0.04118922,20.1666,0.02623851,0.02849451
GALAXY,0.0496848,1.1005839999999998e-05,15.53095,0.00258879,0.06128688,14.66167,0.002265402,0.04239798
GALAXY,0.43535150000000006,0.00015527540000000002,21.99168,0.08972088,0.04653879,20.57476,0.03980171,0.03219532
GALAXY,0.09335824,1.575525e-05,17.1456,0.00601673,0.1166193,16.53857,0.005239007,0.08067672
