class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext
GALAXY,0.044495,8.730744e-06,16.81185,0.006926823,0.27337340000000004,16.32209,0.007092141999999999,0.1891184
QSO,1.090233,0.0007216464,20.294520000000002,0.01830081,0.1559286,20.00297,0.01883008,0.10787069999999999
GALAXY,0.1682588,1.001225e-05,18.17298,0.008792402,0.07535998,17.46069,0.007043781,0.05213368
GALAXY,0.39945390000000003,6.304904e-05,21.3834,0.05640415,0.1013882,19.64126,0.02032309,0.07013987
GALAXY,0.04351376,8.741635e-06,17.09084,0.004822321,0.1755511,16.38099,0.003948827,0.1214454
GALAXY,0.07183982,6.6046220000000004e-06,18.548270000000002,0.009569439,0.3080203,17.970589999999998,0.008332121,0.213087
GALAXY,0.34753320000000004,6.816425e-05,20.54363,0.05380959,0.1261788,18.92301,0.01869016,0.08728993
GALAXY,0.07994467,1.2847119999999999e-05,16.83073,0.00439427,0.07183859,15.899370000000001,0.003306549,0.04969761
QSO,0.8433563000000001,0.0003137393,21.41471,0.0405509,0.07598986,21.22835,0.04769527,0.05256943
GALAXY,0.5995973000000001,0.0001329773,22.06885,0.1698142,0.07421514,20.496229999999997,0.06379322,0.05134169
GALAXY,0.33319309999999996,3.962151e-05,21.10878,0.06974077,0.11523989999999999,20.18308,0.0423892,0.0797224
GALAXY,0.5011541,0.0001779684,22.37506,0.12085789999999999,0.108701,20.72181,0.04440942,0.07519884
GALAXY,0.07954635,1.3615179999999998e-05,18.07783,0.009785478,0.11541680000000001,17.427410000000002,0.007575907,0.07984482
GALAXY,0.6346480999999999,0.0001754941,22.50078,0.2184076,0.1086855,20.95984,0.08919373,0.07518815
GALAXY,0.6153026,0.000149992,22.73967,0.16513010000000003,0.07875285,21.01458,0.05784756,0.05448086
GALAXY,0.08021123,1.16724e-05,21.67794,0.07148995,0.1200031,21.65983,0.0963847,0.08301757
GALAXY,0.04262361,1.3358779999999998e-05,16.83286,0.004821591,0.223058,16.006520000000002,0.003822431,0.1543105
GALAXY,0.1181046,2.1692680000000002e-05,17.36505,0.007300986999999999,0.1916759,16.4856,0.005671194,0.1326005
GALAXY,0.1557858,3.287724e-05,18.71303,0.011048700000000002,0.2756833,17.49648,0.007038322,0.1907164
GALAXY,0.5094057,7.956634e-05,21.594260000000002,0.08180536,0.10311820000000001,20.03055,0.03331831,0.07133668
GALAXY,0.05073915,1.112068e-05,17.84958,0.009891554,0.1419185,17.41056,0.009312616,0.09817856
QSO,0.7722088,7.542076e-05,21.39836,0.04243248,0.1121017,21.15401,0.052244399999999996,0.07755139999999999
GALAXY,0.11506889999999999,2.669038e-05,18.58115,0.009093219,0.03442288,17.58971,0.006468723000000001,0.02381359
GALAXY,0.8978181999999999,0.0002460834,23.03514,0.49842479999999995,0.07352689999999999,21.127370000000003,0.14910379999999998,0.05086557
GALAXY,0.5216081,0.0001602218,21.7385,0.17458189999999998,0.17897220000000003,20.46586,0.08710282,0.12381210000000001
GALAXY,0.05082414,2.483349e-05,16.30029,0.003921979,0.1206329,15.735120000000002,0.003595213,0.08345331
GALAXY,0.5555526999999999,0.0001856638,21.48507,0.09238176,0.08726326,20.54151,0.05924821,0.06036832
GALAXY,0.010982700000000001,7.55518e-06,16.701179999999997,0.005560166,0.09205767,16.32349,0.006469216,0.06368507
QSO,1.9815479999999999,0.0004797725,19.67204,0.01299506,0.03810287,19.66176,0.01669111,0.02635939
QSO,0.3744099,5.305520000000001e-05,19.661720000000003,0.01439119,0.12469839999999999,19.45593,0.01622213,0.08626576
