#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.1121915,2.30199E-05,17.40793,0.00584822,0.07262365,16.36618,0.00404322,0.0502407
QSO,4.217418,0.0005720054,21.03404,0.03872055,0.159324,19.56337,0.01624982,0.1102196
GALAXY,0.4578933,9.741371E-05,21.50643,0.06419494,0.06990622,19.76297,0.02105728,0.0483608
GALAXY,0.3272566,5.043425E-05,20.34797,0.0389507,0.136884,18.6641,0.01405618,0.09469569
GALAXY,0.03028658,6.562571E-06,17.81792,0.00818522,0.1423259,17.40785,0.008902871,0.09846041
GALAXY,0.05747559,2.099094E-05,18.02755,0.007400239,0.5700722,17.03389,0.005139851,0.3943733
GALAXY,0.3085618,4.198519E-05,20.32736,0.03516413,0.1676501,18.61984,0.01340151,0.1159796
QSO,1.662086,0.0005606784,19.42481,0.01146837,0.1744553,19.39409,0.01377799,0.1206873
GALAXY,0.08603068,1.244003E-05,17.13341,0.005108986,0.1033272,16.373,0.004095708,0.07148128
GALAXY,0.4841872,0.0001132325,21.99542,0.1443872,0.2210165,20.22491,0.047803,0.1528982
GALAXY,0.3922138,8.042266E-05,21.0074,0.06221659,0.140506,19.25753,0.02250101,0.0972014
GALAXY,0.6105551,7.490032E-05,21.37669,0.07934952,0.09059098,20.43022,0.05381925,0.06267042
GALAXY,0.07606616,1.01206E-05,17.68428,0.00622785,0.07303736,16.91039,0.004949754,0.0505269
QSO,3.269047,0.0003258471,20.78666,0.02573341,0.1162282,20.29549,0.02452704,0.08040611
GALAXY,0.1299724,2.348842E-05,18.28555,0.01172638,0.1626695,17.40345,0.00835114,0.112534
GALAXY,0.05673416,8.883601E-06,17.92056,0.007381441,0.1337798,17.22158,0.006008589,0.09254822
GALAXY,0.1348347,2.764324E-05,18.69478,0.00972658,0.1711661,17.63977,0.006361097,0.1184119
GALAXY,0.1909645,3.543709E-05,18.51911,0.01454635,0.2392676,17.20866,0.007916596,0.1655242
GALAXY,0.4287128,4.073661E-05,20.78311,0.04628325,0.3053745,19.77257,0.0311555,0.2112567
GALAXY,0.132822,1.878702E-05,18.13978,0.008135341,0.3368241,17.10732,0.005424225,0.2330133
GALAXY,0.6170283,0.000108566,21.40364,0.06901196,0.1905086,20.53605,0.05058282,0.1317929
GALAXY,0.2965551,6.126493E-05,19.62237,0.03081499,0.1192436,17.96048,0.01243048,0.08249218
GALAXY,0.5768613,0.000136076,21.89687,0.1573841,0.1080261,20.15872,0.0545486,0.07473192
GALAXY,0.4589274,0.0001103532,22.04301,0.1391576,0.09917944,20.40688,0.05345139,0.06861188
GALAXY,0.1471473,1.14636E-05,18.71639,0.01092836,0.1064699,17.87692,0.007972712,0.07365539
