#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.1365145,3.395136E-05,18.47898,0.009708275,0.07051906,17.43962,0.006329717,0.04878476
GALAXY,0.1535654,3.274566E-05,18.57491,0.01096943,0.1714351,17.48785,0.007109529,0.118598
GALAXY,0.5371221,0.0001584939,21.62044,0.1148527,0.111637,19.92152,0.03933051,0.07722999
GALAXY,0.4962514,0.000119633,21.45844,0.08207215,0.098544,19.74604,0.02988176,0.06817228
GALAXY,0.6126488,0.0004462864,23.91529,0.3837034,0.07282613,21.72995,0.09054527,0.05038078
GALAXY,0.07959062,1.114531E-05,17.9243,0.005960812,0.0532434,17.25991,0.005030883,0.03683354
QSO,4.087436,0.0005558821,22.04884,0.08328523,0.1655095,20.37999,0.02787733,0.1144987
QSO,2.465772,-1,19.69702,0.01447403,0.1425521,19.53926,0.01823228,0.09861685
QSO,1.543808,0.0004333931,21.44983,0.0487299,0.1679965,21.22619,0.05916375,0.1162192
GALAXY,0.1129631,2.847329E-05,18.36866,0.008440252,0.1106937,17.36411,0.006096168,0.07657739
GALAXY,0.1002525,7.795212E-06,18.10736,0.008798381,0.06822764,17.5247,0.008446802,0.04719957
GALAXY,0.5841451,0.0001964442,21.91123,0.1389604,0.07758714,20.73393,0.08157286,0.05367442
GALAXY,0.4131353,0.0001212335,22.13377,0.1161456,0.1531152,20.29256,0.03995832,0.1059244
GALAXY,0.4124973,0.0001132292,20.55598,0.0673876,0.03814928,18.64095,0.02081073,0.0263915
GALAXY,0.4220513,4.516608E-05,21.02661,0.04964614,0.1801097,19.74286,0.02550958,0.1245991
GALAXY,0.5870758,0.0001569209,23.06441,0.352237,0.1399061,21.12971,0.09732887,0.09678642
GALAXY,0.5773786,0.0002214712,22.70297,0.1995765,0.1243662,21.29884,0.09272632,0.08603597
GALAXY,0.5911949,0.0001563805,21.2034,0.1424667,0.123772,20.49788,0.1125578,0.08562493
QSO,2.419207,0.0003080785,21.59407,0.05464166,0.1281369,21.67128,0.08216981,0.08864455
GALAXY,0.3519812,7.942804E-05,20.37689,0.0556234,0.1373582,18.55737,0.01662515,0.09502374
GALAXY,0.1584325,3.821182E-05,19.44709,0.01730383,0.047254,18.21019,0.009647788,0.0326901
GALAXY,0.1604385,4.598347E-05,18.43664,0.01023324,0.05447488,17.21849,0.006106628,0.03768547
QSO,2.218822,0.0004480538,20.57105,0.02303489,0.03969705,20.43532,0.02692077,0.02746223
QSO,1.453559,0.0004855762,21.05064,0.036052,0.0578924,20.74409,0.03822079,0.0400497
GALAXY,0.1165459,1.469489E-05,17.87646,0.007623015,0.05241359,17.11585,0.005977324,0.03625948
GALAXY,0.05448749,1.227645E-05,16.95588,0.005693316,0.04771647,16.3154,0.004812847,0.03301004
GALAXY,0.3706162,0.0001393359,21.85793,0.1176199,0.1702909,20.20947,0.04100329,0.1178065
GALAXY,0.5556189,0.0001320216,21.39029,0.1578806,0.1039163,19.8659,0.06649321,0.07188878
GALAXY,0.1449901,2.981566E-05,18.33182,0.009035052,0.08639279,17.27524,0.005864779,0.05976613
GALAXY,0.6535078,0.0001100941,22.43852,0.1314905,0.04825922,20.79719,0.05171104,0.0333855
QSO,1.76507,0.001993132,21.46518,0.04093906,0.041977,21.39983,0.05792167,0.02903949
GALAXY,0.1234406,1.784392E-05,17.73779,0.007197775,0.1345329,16.64736,0.004794847,0.09306923
GALAXY,0.4764443,0.0001740461,21.12763,0.09744103,0.06688653,19.38309,0.0349431,0.04627179
GALAXY,0.5543078,0.0001272014,22.18604,0.1123542,0.1201735,20.67155,0.04804187,0.08313544
GALAXY,0.04556802,1.40807E-05,17.55141,0.01426168,0.1946173,17.10005,0.01552118,0.1346353
