#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.3619854,9.294644E-05,21.74795,0.0896289,0.1855872,19.9896,0.02947002,0.1283884
GALAXY,0.04526221,7.163682E-06,17.94311,0.009925027,0.07212643,17.55313,0.01071528,0.04989673
QSO,0.9452302,0.0004874617,20.89638,0.03437691,0.2159171,20.48797,0.0315764,0.1493704
GALAXY,0.3534536,6.352479E-05,20.17597,0.0311483,0.07124726,18.4287,0.01170335,0.04928852
QSO,2.437849,0.0002879826,19.67327,0.01428853,0.1650253,19.54533,0.01542,0.1141638
QSO,1.386469,0.001187023,21.94681,0.08721219,0.1510328,21.53266,0.08213552,0.1044838
GALAXY,0.1894385,5.806562E-05,20.52312,0.03687946,0.1830531,19.25899,0.01711042,0.1266353
QSO,1.5857,0.0004538624,19.86597,0.01640313,0.1378563,19.66383,0.01803467,0.09536835
GALAXY,0.08173838,2.705651E-05,18.60487,0.01253183,0.1430304,17.61867,0.00826004,0.09894778
QSO,1.525278,0.0004253185,20.26741,0.02093923,0.1283154,20.02553,0.02543554,0.08876801
GALAXY,0.07666194,9.108928E-06,16.83222,0.004785507,0.1189967,16.05079,0.003756923,0.08232135
GALAXY,0.1728914,1.225525E-05,18.39041,0.01239441,0.100891,17.62532,0.009756881,0.06979592
GALAXY,0.1390215,1.557053E-05,18.47593,0.01055926,0.2515331,17.61983,0.007667695,0.1740094
GALAXY,0.3833098,7.750341E-05,20.5538,0.04756891,0.0492806,18.85607,0.01612193,0.03409209
GALAXY,0.3581882,6.059447E-05,20.33401,0.04045755,0.07005653,18.66932,0.01376612,0.04846478
GALAXY,0.5848824,0.0001689334,22.09886,0.1123719,0.06257874,20.87549,0.05770097,0.04329168
GALAXY,0.5423643,0.0002165209,22.55586,0.1745362,0.1831926,21.11078,0.06955348,0.1267318
GALAXY,0.3938312,0.0001087987,21.33178,0.09043407,0.05338209,19.68475,0.03124597,0.03692948
QSO,1.510078,0.001776003,21.64674,0.06870131,0.03171311,21.5168,0.08091477,0.02193899
GALAXY,0.2384673,4.27659E-05,18.96795,0.01643302,0.04878275,17.59099,0.008083781,0.03374768
GALAXY,0.04191952,1.279747E-05,16.87983,0.004356196,0.1649996,16.00042,0.003429619,0.1141459
GALAXY,0.04924204,1.747403E-05,17.73841,0.006722589,0.1179719,16.91165,0.004918235,0.08161244
GALAXY,0.4980288,0.0002219087,22.20789,0.1131659,0.06300387,20.60074,0.04305328,0.04358578
QSO,1.26491,0.000209081,22.03509,0.08116731,0.04315644,21.43058,0.06737261,0.02985542
GALAXY,0.06782529,1.607993E-05,15.7659,0.003730814,0.1026552,14.88097,0.002864303,0.07101636
GALAXY,0.1350836,3.032545E-05,18.65093,0.01018848,0.0462416,17.59759,0.006716214,0.03198972
GALAXY,0.5277864,0.0001153715,21.57163,0.1209412,0.0342408,20.0588,0.0475683,0.02368763
GALAXY,0.1734087,3.217471E-05,18.70055,0.01286298,0.06297845,17.53758,0.00790708,0.04356821
GALAXY,0.09676896,1.869308E-05,17.93262,0.006796637,0.04146406,17.10506,0.005276438,0.02868465
GALAXY,0.2139058,3.500977E-05,18.74404,0.01373918,0.103882,17.37573,0.007015288,0.07186508
GALAXY,0.06204176,7.826768E-06,17.67547,0.00605884,0.2448287,17.08372,0.004949575,0.1693714
GALAXY,0.3570074,0.0001063721,20.94285,0.05909719,0.4053775,19.0125,0.01791142,0.2804383
GALAXY,0.4193939,0.0001177152,21.03599,0.06569336,0.09456312,19.18773,0.02104098,0.06541833
QSO,0.2867657,3.42711E-05,18.77665,0.008956509,0.0731588,18.17725,0.007751448,0.05061092
GALAXY,0.7828907,3.271734E-05,21.73922,0.05448179,0.1355904,21.54075,0.0630653,0.09380081
GALAXY,0.6398049,0.0001920428,22.86578,0.2209711,0.1101547,20.97165,0.06729199,0.07620454
QSO,1.218747,0.0004599602,19.96194,0.01710615,0.1772131,19.68991,0.01713199,0.1225952
QSO,2.52964,0.0003442733,21.32067,0.03725787,0.04594983,21.24371,0.0456002,0.03178788
GALAXY,0.5083465,0.0001727325,22.23308,0.1291979,0.04963578,20.6901,0.05122355,0.0343378
GALAXY,0.4212173,0.0001544338,21.71167,0.0996609,0.04116841,20.22229,0.04319442,0.02848012
QSO,1.904875,0.0004828037,21.50574,0.04611149,0.02842116,21.51415,0.05896373,0.01966163
GALAXY,0.1189915,1.998042E-05,17.4225,0.006390924,0.04957634,16.64242,0.004949595,0.03429668
QSO,2.326245,0.0005495172,21.00944,0.02846502,0.1256827,21.00326,0.03847884,0.0869467
GALAXY,0.4930567,0.0001423202,21.65066,0.1018155,0.1596606,20.15482,0.04008062,0.1104525
QSO,0.4881946,0.0001086291,21.17944,0.03634852,0.03801531,20.59112,0.03000474,0.02629882
GALAXY,0.3201713,6.017628E-05,20.24166,0.0360828,0.08195763,18.69405,0.01432451,0.05669791
GALAXY,0.597614,3.341924E-05,22.27053,0.1904937,0.05031306,20.52269,0.05446341,0.03480634
QSO,1.886212,0.0004112002,20.19843,0.02039943,0.05751226,20.29183,0.02841347,0.03978672
QSO,2.528027,0.0005605037,20.74888,0.02773874,0.04679858,20.34811,0.02870461,0.03237504
GALAXY,0.008529821,1.251366E-05,14.25681,0.002265627,0.0750481,13.49018,0.002015091,0.05191793
GALAXY,0.1169496,1.980262E-05,17.45732,0.007184625,0.04484203,16.59224,0.005553884,0.03102151
GALAXY,0.2866361,6.683633E-05,20.62226,0.04437036,0.04549339,18.97463,0.01859357,0.03147211
GALAXY,0.4521106,0.0001297597,22.32677,0.09521835,0.09498333,20.80791,0.04005934,0.06570903
GALAXY,0.6218379,0.0001498427,21.65557,0.1174094,0.04612035,20.55325,0.06156179,0.03190584
QSO,1.590425,0.0006472157,19.0767,0.01024669,0.03376503,18.9954,0.01111643,0.02335849
GALAXY,0.1156804,2.252715E-05,17.61215,0.007114802,0.05864189,16.87727,0.00583484,0.04056819
GALAXY,0.6158745,0.0001907249,23.02263,0.5031561,0.3062333,20.7809,0.09628105,0.2118508
GALAXY,0.1247573,3.577436E-05,18.56312,0.01278181,0.04345154,17.47509,0.008674984,0.03005957
GALAXY,0.6288242,0.0001735854,22.64182,0.2283226,0.124311,20.92605,0.09779035,0.08599776
GALAXY,0.5707635,0.0001391714,22.68182,0.1690591,0.09601678,20.68928,0.05677247,0.06642396
GALAXY,0.5111889,0.000144226,21.95858,0.1440296,0.08709847,20.10215,0.04530711,0.06025432
QSO,2.950146,0.000362906,21.80466,0.1180653,0.08096632,21.79181,0.1597418,0.05601212
GALAXY,0.1806237,1.194544E-05,18.19308,0.009798785,0.09119641,17.5907,0.008833861,0.06308925
GALAXY,0.1174261,3.957974E-05,18.26379,0.01029612,0.1308959,17.27134,0.00761145,0.09055318
GALAXY,0.05398506,1.496227E-05,16.40292,0.003966144,0.08010572,15.80488,0.003502389,0.05541677
GALAXY,0.3983103,9.954935E-05,21.01684,0.05977879,0.07664607,19.308,0.02109421,0.0530234
GALAXY,0.4878028,0.0001018105,21.84557,0.08390898,0.1425956,20.25559,0.0339121,0.09864701
GALAXY,0.08328213,9.621522E-06,18.36404,0.01004662,0.1581703,17.83094,0.01014192,0.1094215
GALAXY,0.3566221,7.475103E-05,21.29556,0.07799868,0.1697983,19.5237,0.02409015,0.1174657
GALAXY,0.3589484,0.0001070218,20.86052,0.05856283,0.1369371,18.99614,0.01820366,0.09473246
GALAXY,0.1483539,9.846959E-06,21.15133,0.03395814,0.04670068,20.85735,0.03898846,0.03230731
GALAXY,0.07390366,1.084621E-05,17.72617,0.007283484,0.04367471,17.25275,0.007068499,0.03021397
GALAXY,0.1401168,2.885742E-05,18.2036,0.009371947,0.06612852,17.36311,0.006893488,0.04574741
QSO,1.00715,0.0007319739,20.88297,0.03445257,0.04405261,20.66439,0.03818964,0.03047539
GALAXY,0.4828826,9.223689E-05,20.96599,0.05397499,0.03811771,19.24322,0.01968821,0.02636966
GALAXY,0.1876206,4.940896E-05,18.86447,0.01059306,0.05313724,17.59081,0.005924705,0.0367601
GALAXY,0.6041377,0.0001462568,21.81449,0.1573758,0.04101563,20.09133,0.05080781,0.02837442
QSO,1.738345,0.0009753541,20.94641,0.02573892,0.04211744,20.72286,0.03000613,0.02913665
GALAXY,0.09782355,2.449963E-05,16.32555,0.004467028,0.0326063,15.44859,0.00367187,0.02255689
GALAXY,0.5822966,0.0001440308,22.00109,0.1797421,0.09228978,20.29477,0.05323821,0.06384563
GALAXY,0.4989076,0.000178123,21.35768,0.1118968,0.08589503,19.71921,0.04118298,0.05942179
GALAXY,0.1446224,2.481823E-05,18.31705,0.008461474,0.06216655,17.3488,0.005997555,0.04300654
QSO,3.081853,0.001332514,21.1764,0.03795915,0.06245558,20.94084,0.04329026,0.04320648
QSO,3.070811,0.0004090771,21.4357,0.0463465,0.0962706,21.19208,0.04942636,0.06659956
GALAXY,0.4596984,0.0001456557,21.73938,0.1301636,0.1426336,20.07098,0.0463693,0.0986733
GALAXY,0.5419459,9.269936E-05,21.83607,0.0734656,0.050282,20.59941,0.04019513,0.03478485
QSO,2.353513,-1,22.13023,0.09160559,0.1966416,22.18051,0.1310705,0.1360357
GALAXY,0.02254578,1.224592E-05,17.78592,0.01497278,0.08635572,17.41884,0.01890342,0.05974048
GALAXY,0.5644726,0.000240238,21.7775,0.09618552,0.02533277,20.51793,0.051762,0.01752509
GALAXY,0.7075326,0.0001253448,21.86739,0.1125527,0.07179007,20.94019,0.07509123,0.04966404
GALAXY,0.4641488,9.37482E-05,22.43124,0.1104114,0.2684799,20.46179,0.03296334,0.1857331
GALAXY,0.04495216,2.042679E-05,17.54138,0.006621292,0.07200614,16.76336,0.005265459,0.04981352
GALAXY,0.2803935,3.584478E-05,19.85204,0.03443407,0.1015803,18.38768,0.01357082,0.07027279
GALAXY,0.1594885,2.831748E-05,18.48449,0.01126898,0.07471415,17.35637,0.007008604,0.0516869
GALAXY,0.2658512,4.615458E-05,19.39546,0.02197519,0.0942651,17.9644,0.009913876,0.06521216
GALAXY,0.2596647,6.886497E-05,20.00731,0.03034494,0.06152517,18.49358,0.01290415,0.04256283
GALAXY,0.05731137,7.440317E-06,17.90845,0.005895999,0.08022522,17.4526,0.00536934,0.05549944
GALAXY,0.1474556,3.515897E-05,18.5775,0.01254382,0.2718519,17.49957,0.008165867,0.1880659
GALAXY,0.5431278,0.000179737,21.63687,0.1163015,0.1312054,20.52678,0.06413762,0.09076725
GALAXY,0.03556547,6.063813E-06,15.0439,0.002352564,0.3913686,14.17983,0.002104552,0.270747
GALAXY,0.1384351,3.404199E-05,19.12917,0.01938924,0.2816754,17.96544,0.01064462,0.1948617
GALAXY,0.6057409,0.0002078614,22.15679,0.1793791,0.2099278,20.75361,0.07773972,0.1452271
QSO,2.22808,0.0002431445,18.78854,0.007926136,0.1104367,18.70374,0.008857393,0.07639958
GALAXY,0.4648864,0.0001639025,22.95535,0.2482583,0.1568303,20.86243,0.05945637,0.1084945
GALAXY,0.5288208,0.0002072753,22.71119,0.2109911,0.2351392,21.13267,0.07338728,0.1626682
QSO,1.093065,0.0002249607,21.59747,0.07760348,0.1682079,21.17155,0.09336488,0.1163655
