#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.747304,0.0001239515,21.54987,0.09884994,0.07739296,20.68488,0.06856064,0.05354009
GALAXY,0.2916739,7.772524E-05,19.43946,0.02553565,0.08007427,17.80862,0.01023036,0.055395
GALAXY,0.5248442,0.0001332005,22.95586,0.206748,0.1998776,21.09234,0.06124265,0.1382744
QSO,1.166725,0.0002867455,18.55884,0.007283929,0.08014035,18.33429,0.007621504,0.05544072
GALAXY,0.5005752,0.0001458964,22.14551,0.1797293,0.1202632,20.48802,0.06042716,0.08319749
GALAXY,0.03133979,1.456022E-05,14.98913,0.002769463,0.2272074,14.1312,0.00231585,0.157181
GALAXY,0.5089886,0.0001602691,21.48605,0.114925,0.1236492,20.20837,0.06008813,0.08553992
GALAXY,0.07526869,1.326913E-05,17.78684,0.00561011,0.0744916,16.99465,0.004475496,0.05153294
GALAXY,0.6770093,0.0002926135,22.60475,0.1599916,0.1986805,21.60238,0.1044061,0.1374463
QSO,0.4685413,3.406461E-05,22.19848,0.1122385,0.195481,20.81421,0.05388027,0.1352329
GALAXY,0.08574945,8.445356E-06,17.50953,0.007199043,0.2571353,16.91945,0.00613752,0.177885
GALAXY,0.5182273,0.0001186027,22.08096,0.1527449,0.1864575,20.53659,0.06043714,0.1289905
QSO,2.08701,0.0005189985,20.77624,0.02777183,0.1596718,20.4416,0.0311674,0.1104602
GALAXY,0.6012146,0.0001836624,22.33476,0.2526554,0.07261485,20.46979,0.07500639,0.05023462
GALAXY,0.6270434,0.0001488878,22.61225,0.1814279,0.1044424,20.90359,0.05699019,0.07225278
GALAXY,0.4627024,9.410745E-05,22.0097,0.09651309,0.1447025,20.29039,0.03220063,0.1001045
GALAXY,0.4259116,3.528719E-05,21.99562,0.1702987,0.131293,20.46423,0.06554798,0.0908279
GALAXY,0.5561368,0.0001633899,22.73307,0.3191235,0.1516362,20.49137,0.06788165,0.1049012
GALAXY,0.1802157,2.711535E-05,17.54833,0.009783871,0.101133,16.44561,0.006126168,0.06996331
GALAXY,0.08358942,1.056891E-05,20.45935,0.07590373,0.1724205,20.05078,0.07743682,0.1192797
QSO,1.524343,0.0008615395,20.98267,0.03664766,0.1556346,20.77019,0.03745773,0.1076673
GALAXY,0.07995284,2.028732E-05,18.24633,0.007097615,0.03991471,17.34864,0.005364629,0.02761281
GALAXY,0.1170764,1.009152E-05,17.56089,0.006127417,0.05999302,16.98135,0.0050046,0.0415029
GALAXY,0.2203643,4.455164E-05,18.81524,0.01504138,0.05211728,17.38217,0.007299836,0.0360545
GALAXY,0.2872604,4.203337E-05,19.58871,0.02913292,0.07319523,18.01141,0.01153782,0.05063612
GALAXY,0.6619767,0.0002127535,22.10467,0.1865233,0.0563008,20.85233,0.0846012,0.03894863
GALAXY,0.635862,0.0003776663,22.39458,0.2041681,0.1662689,21.17046,0.1205801,0.1150241
GALAXY,0.1613748,1.262275E-05,18.06207,0.009048652,0.1458628,17.21063,0.006589107,0.1009072
GALAXY,0.3992615,0.0001346592,21.61863,0.1379786,0.09949955,19.99659,0.05211471,0.06883333
GALAXY,0.3316804,8.215134E-05,20.59638,0.03643164,0.04974649,18.938,0.01412323,0.03441439
GALAXY,0.08231244,1.487697E-05,16.46254,0.004359012,0.0847128,15.7675,0.003706265,0.05860392
GALAXY,0.396225,7.334482E-05,21.40043,0.07884652,0.09342473,19.49742,0.02375007,0.06463079
GALAXY,0.4881596,0.0002017249,22.00781,0.1654801,0.1121034,20.4796,0.06227124,0.07755261
GALAXY,0.6128361,0.0001841368,23.69323,0.4230825,0.2022476,21.67033,0.1141767,0.1399139
GALAXY,0.1583352,9.397895E-06,17.9608,0.007807642,0.1359731,17.24834,0.006204397,0.09406555
