#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.06943551,6.976985E-06,18.47655,0.01035842,0.3778976,17.60142,0.007675576,0.2614278
GALAXY,0.1208383,1.296242E-05,17.8444,0.006528364,0.06968972,17.16591,0.005321717,0.04821102
GALAXY,0.6303554,0.0001352643,21.2652,0.08717413,0.1470075,20.56698,0.07059839,0.1016991
GALAXY,0.7375507,0.0002416438,20.05801,0.1037104,0.277542,18.80948,0.05366674,0.1920023
GALAXY,0.1575679,2.589488E-05,17.7492,0.008140638,0.2059622,16.51185,0.004801776,0.1424837
GALAXY,0.3121004,4.852114E-05,20.58521,0.04734501,0.1199908,18.8261,0.01497583,0.08300905
GALAXY,0.4755409,9.427639E-05,22.25787,0.1101083,0.144879,20.6558,0.04274491,0.1002266
GALAXY,0.6165347,0.000188888,22.53915,0.2006971,0.07531304,20.82059,0.06842922,0.05210121
GALAXY,0.1905811,3.892876E-05,18.71634,0.01666288,0.2722078,17.49782,0.009161251,0.1883121
QSO,2.402313,0.0003810211,20.62419,0.02387032,0.07706692,20.37436,0.02879992,0.05331454
QSO,3.333113,-4,19.19002,0.0101125,0.1678508,18.72187,0.009250638,0.1161184
QSO,2.464434,0.0001884581,19.68837,0.01594952,0.08925952,19.68882,0.01922946,0.06174932
GALAXY,0.1519253,3.128656E-05,17.96015,0.008329234,0.09977058,16.83255,0.005367821,0.06902082
GALAXY,0.6160268,0.0003149023,22.57448,0.3477162,0.05910939,20.70324,0.10626,0.04089161
GALAXY,0.1367986,2.358309E-05,18.74252,0.008716878,0.1023031,17.59512,0.005646307,0.07077284
GALAXY,0.09185734,4.216293E-05,21.72062,0.08798659,0.161741,21.3786,0.09604546,0.1118917
GALAXY,0.6456397,0.0002209071,23.32901,0.2624061,0.04372077,21.54242,0.09342097,0.03024583
GALAXY,0.1598189,1.609413E-05,18.38832,0.01007128,0.1810756,17.53383,0.007358493,0.1252673
GALAXY,0.4032032,0.0001072807,21.68056,0.1069976,0.07349146,20.20943,0.04670538,0.05084105
GALAXY,0.6226318,1.57018E-05,20.4299,0.02543557,0.1302482,19.85768,0.02271524,0.09010511
GALAXY,0.778777,0.0002789882,23.46992,0.4913195,0.1150987,21.68314,0.1544576,0.07962476
GALAXY,0.1201274,1.453654E-05,19.14024,0.01458985,0.1539322,18.17327,0.009923405,0.1064896
GALAXY,0.4784844,0.0001316369,21.44579,0.06728891,0.02968727,19.74364,0.02393801,0.02053751
QSO,1.484032,0.001777486,22.05646,0.1118162,0.1633613,21.85008,0.1293011,0.1130126
GALAXY,0.5537621,0.000127004,22.30482,0.12793,0.07099442,20.38437,0.03802394,0.04911361
GALAXY,0.1294079,1.278825E-05,18.89255,0.0113535,0.07127397,18.11639,0.008869565,0.049307
QSO,2.214225,0.0002582998,20.38765,0.02409421,0.06149685,20.51744,0.04255731,0.04254324
GALAXY,0.1552954,1.504713E-05,21.34326,0.05196906,0.08620624,20.82364,0.05049791,0.05963708
GALAXY,0.5833182,0.0001675639,21.66373,0.147077,0.1772202,19.7761,0.0414515,0.1226001
GALAXY,0.5112856,0.0001206677,22.09036,0.2110964,0.117944,20.16679,0.05460043,0.0815931
QSO,1.726914,0.0004270916,20.93371,0.035416,0.1630207,20.86279,0.04728627,0.112777
GALAXY,0.07180521,3.509797E-06,17.81005,0.006852905,0.1745315,17.15944,0.005799746,0.1207401
GALAXY,0.5848127,0.0001622485,22.12029,0.1461105,0.09917894,20.51364,0.05387269,0.06861153
QSO,2.306147,0.0004580498,21.26597,0.03743218,0.07282021,21.43864,0.06792308,0.05037668
GALAXY,0.707432,0.0002236876,22.55298,0.2224327,0.05592396,20.93394,0.08824033,0.03868794
GALAXY,0.1381077,1.50686E-05,18.57864,0.01247092,0.108153,17.78278,0.009277306,0.07481973
GALAXY,0.569486,0.0001672048,21.21984,0.1141867,0.06724824,20.02374,0.05962791,0.04652202
GALAXY,0.6425256,0.0002986075,21.9462,0.2873347,0.1246371,20.03036,0.08028924,0.08622336
GALAXY,0.5465415,0.0001070924,21.70821,0.08959093,0.09155273,20.3834,0.04401562,0.06333575
GALAXY,0.5338137,9.983091E-05,22.52787,0.2629121,0.06129575,20.39483,0.06074189,0.04240412
GALAXY,0.3244136,6.735829E-05,19.93672,0.02577295,0.1814581,18.23652,0.01059556,0.1255319
GALAXY,0.3991596,8.227057E-05,21.32329,0.07372664,0.07163554,19.47782,0.02389082,0.04955713
GALAXY,0.08202377,1.854527E-05,17.32664,0.005620095,0.1267882,16.35982,0.004156447,0.08771153
GALAXY,0.5056261,0.000110493,21.94027,0.1271993,0.195442,20.58009,0.05989531,0.1352058
GALAXY,0.5436164,0.000103715,20.96743,0.06927669,0.1072899,19.71077,0.0346151,0.07422268
GALAXY,0.08203372,1.88726E-05,18.4953,0.01521324,0.18005,17.80339,0.0117479,0.1245577
GALAXY,0.3733248,0.0001199376,20.43368,0.05000958,0.1053531,18.63171,0.01644086,0.07288278
GALAXY,0.06584495,1.708542E-05,16.94061,0.004641306,0.1061618,16.02017,0.003485352,0.07344224
GALAXY,0.3490402,8.814271E-05,20.85936,0.05770484,0.2358455,19.00707,0.01874559,0.1631568
GALAXY,0.2402888,4.298758E-05,20.31073,0.03279063,0.2628268,19.07936,0.01815391,0.1818224
GALAXY,0.1824832,1.032667E-05,18.56044,0.009692747,0.1040738,17.73112,0.00764617,0.07199778
GALAXY,0.6121664,0.0001751182,22.65568,0.1861397,0.1136168,21.21625,0.07680994,0.0785996
GALAXY,0.08418877,1.570206E-05,16.08554,0.005627694,0.1310968,15.23626,0.004256708,0.09069216
GALAXY,0.2290174,9.212559E-05,20.10704,0.03465148,0.8185616,18.42845,0.01280855,0.5662771
QSO,2.210725,0.0006412609,20.25845,0.0216225,0.2456838,20.07618,0.02397865,0.1699629
GALAXY,0.6348928,0.000128941,22.33503,0.1359417,0.1781809,20.83953,0.05594857,0.1232648
GALAXY,0.5282662,0.0001697966,21.96476,0.134384,0.1896851,20.14601,0.0409556,0.1312233
GALAXY,0.5608035,0.0001559053,22.48691,0.218411,0.1678089,20.93055,0.07728492,0.1160894
GALAXY,0.5100543,0.0001397245,22.21443,0.17281,0.1119756,20.49553,0.05307531,0.07746417
GALAXY,0.7215921,0.0001720941,22.23904,0.2570035,0.1235957,20.66589,0.09108411,0.08550294
GALAXY,0.1020486,2.94589E-05,18.60975,0.01042704,0.1607757,17.59811,0.007032532,0.1112239
GALAXY,0.5947406,0.0002022767,22.39255,0.2680622,0.1457743,20.64384,0.08165807,0.100846
GALAXY,0.03293461,7.305468E-06,18.3985,0.00791612,0.06606451,17.43441,0.005723876,0.04570312
GALAXY,0.1314371,1.841061E-05,21.77946,0.0715683,0.0773605,21.64084,0.1041811,0.05351764
QSO,1.994111,0.0008848034,21.55263,0.05350729,0.01809562,21.63601,0.08692731,0.01251847
QSO,1.318466,0.0003335873,19.37756,0.01150005,0.3325312,18.95933,0.01060047,0.2300436
GALAXY,0.6116735,0.0001989498,21.70627,0.1109981,0.2767547,20.4077,0.05155952,0.1914576
GALAXY,0.5110866,0.0001451393,22.4032,0.163809,0.1517965,20.91022,0.06860487,0.1050121
GALAXY,0.688696,0.0003072929,22.8453,0.2839009,0.06012427,21.26174,0.1078138,0.04159369
QSO,1.379314,0.0004215635,20.78988,0.02902075,0.0785464,20.44458,0.02829967,0.05433803
GALAXY,0.2657802,3.430734E-05,19.55955,0.01958128,0.06448741,18.10032,0.009058459,0.04461209
GALAXY,0.4525334,9.206324E-05,21.17213,0.07728485,0.08640922,19.34913,0.02385192,0.05977749
GALAXY,0.4730284,0.0001219582,22.15215,0.12522,0.0466597,20.42753,0.03836192,0.03227897
GALAXY,0.5612765,0.0002112589,22.72733,0.2783691,0.08131864,20.97485,0.0769449,0.05625586
GALAXY,0.4377905,1.849607E-05,21.96337,0.07297094,0.09891763,21.07468,0.04627855,0.06843076
QSO,0.3426476,7.414877E-05,19.77822,0.01607168,0.150476,19.02535,0.01249403,0.1040986
GALAXY,0.637733,0.000213625,22.78864,0.2678333,0.1384549,21.04121,0.08247065,0.09578249
GALAXY,0.0959631,8.415003E-06,17.92702,0.007496081,0.082963,17.68666,0.007991902,0.05739342
