#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.1031646,7.420232E-06,17.45983,0.006702543,0.1447563,16.9766,0.006196919,0.1001417
QSO,0.5561173,7.921031E-05,18.37405,0.006626569,0.1434411,18.45823,0.008030867,0.09923189
GALAXY,0.4743394,0.0001798083,21.54321,0.1263915,0.1006242,19.91417,0.04869426,0.06961136
GALAXY,0.5173566,0.0001545723,21.54074,0.1029946,0.1348556,20.28349,0.05406,0.0932925
GALAXY,0.169335,3.503368E-05,20.32302,0.03048422,0.04358255,18.54318,0.0106567,0.03015021
QSO,3.425626,0.0009882081,20.76694,0.02935708,0.08232863,20.20783,0.02739166,0.05695457
QSO,1.094558,0.0004344035,21.47511,0.05141623,0.1957706,21.23512,0.0535442,0.1354332
GALAXY,0.2624418,4.222153E-05,19.17385,0.02331433,0.05702081,17.65642,0.009848844,0.03944673
GALAXY,0.5225261,0.0001335718,21.89825,0.123785,0.07822244,20.33103,0.04944339,0.05411392
GALAXY,0.4312665,0.0001105203,20.85529,0.0763769,0.03824051,19.17491,0.02732049,0.02645461
GALAXY,0.2906928,5.110798E-05,19.95218,0.04263952,0.166972,18.45117,0.01824171,0.1155104
GALAXY,0.3384688,0.0001021871,20.85488,0.07612311,0.1619628,19.05422,0.0239511,0.1120451
GALAXY,0.211853,2.673644E-05,19.19412,0.01681328,0.1587306,17.74906,0.008541896,0.1098091
GALAXY,0.5882895,0.0002764445,22.30247,0.2071341,0.0400993,20.54691,0.07214947,0.02774051
GALAXY,0.6069806,0.0001443619,21.43413,0.09622215,0.07079477,20.37248,0.06344581,0.04897549
GALAXY,0.4845751,0.0002385693,22.6636,0.1754352,0.08719631,20.96313,0.06370963,0.06032201
GALAXY,0.5656486,0.0001393011,21.89642,0.1221249,0.03544227,20.15671,0.04120754,0.0245188
GALAXY,0.07797278,1.776876E-05,18.54419,0.01229407,0.0713245,17.77637,0.009597742,0.04934196
