#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.5578467,0.0001573824,22.72921,0.1862376,0.515011,20.95052,0.05922998,0.3562822
GALAXY,0.2872001,6.052269E-05,21.03159,0.04079365,0.06305752,19.25446,0.01454138,0.0436229
QSO,2.804247,0.0003897599,19.7382,0.01435246,0.1134433,19.60055,0.01550941,0.07847955
GALAXY,0.7125571,0.0002124616,23.19582,0.8050483,0.238189,20.52988,0.120322,0.164778
GALAXY,0.3088762,5.97316E-05,19.76864,0.03131163,0.06705204,18.09912,0.01276633,0.04638629
GALAXY,0.5782048,0.0002324108,22.70395,0.1798083,0.1846329,21.00011,0.05931697,0.1277282
GALAXY,0.02043436,3.162423E-05,17.53175,0.00831461,0.09157787,16.79027,0.006395471,0.06335314
QSO,1.646503,0.001790283,21.78424,0.07266068,0.06237432,21.67639,0.08212949,0.04315027
GALAXY,0.1727173,7.382249E-06,18.21539,0.007558408,0.06387073,17.57033,0.006424771,0.04418547
GALAXY,0.2585209,4.514123E-05,19.53039,0.01845525,0.05394546,18.01241,0.008860918,0.03731922
GALAXY,0.4604908,0.0002455718,22.64898,0.1892241,0.1048552,20.9302,0.05908747,0.07253835
QSO,0.1289071,4.050777E-05,16.87334,0.004314153,0.1072049,16.42128,0.004065213,0.07416388
GALAXY,0.7348477,7.070305E-05,21.34385,0.07010385,0.1808891,20.42643,0.04558426,0.1251383
GALAXY,0.1146656,1.799191E-05,19.14675,0.01546556,0.1537646,18.16073,0.01012846,0.1063736
GALAXY,0.4429029,0.000111733,22.12173,0.1039076,0.06328029,20.65164,0.04622909,0.04377702
GALAXY,0.8776928,0.0002022531,22.45123,0.2072693,0.142337,20.91515,0.07775402,0.09846808
GALAXY,0.4685989,0.0001257866,21.91369,0.1205977,0.1563211,20.1144,0.03901676,0.1081422
GALAXY,0.5409819,0.0001511935,22.19283,0.1315234,0.1597291,20.48761,0.0433517,0.1104998
GALAXY,0.3127931,7.628543E-05,21.51587,0.08276938,0.09597026,20.12044,0.03744119,0.06639178
QSO,1.00156,0.0003604913,18.31756,0.006767121,0.10625,18.11087,0.007492271,0.07350323
GALAXY,0.5390808,0.0002001943,22.60796,0.2252124,0.04363376,20.95836,0.08310156,0.03018563
GALAXY,0.1333217,2.214378E-05,21.27584,0.05100564,0.04832414,20.72353,0.04556612,0.03343042
GALAXY,0.1023425,1.720137E-05,17.53171,0.005244995,0.05177468,16.57659,0.003898586,0.03581748
QSO,2.225443,0.0002726871,20.30038,0.02168187,0.1517192,20.25079,0.02649206,0.1049586
GALAXY,0.5376754,0.0001734611,21.53696,0.1039621,0.0760882,20.4869,0.06078095,0.05263746
GALAXY,0.02480617,6.062592E-06,16.67731,0.003760042,0.08401006,16.18966,0.00353259,0.05811777
GALAXY,0.09880166,1.128503E-05,18.44602,0.008438705,0.04572527,17.78074,0.006887957,0.03163253
GALAXY,0.09975766,1.240479E-05,17.87185,0.007604226,0.0459678,17.25982,0.006432076,0.03180031
QSO,0.6736355,0.0001700764,20.31226,0.02062225,0.04118922,20.1666,0.02623851,0.02849451
GALAXY,0.0496848,1.100584E-05,15.53095,0.00258879,0.06128688,14.66167,0.002265402,0.04239798
GALAXY,0.4353515,0.0001552754,21.99168,0.08972088,0.04653879,20.57476,0.03980171,0.03219532
GALAXY,0.09335824,1.575525E-05,17.1456,0.00601673,0.1166193,16.53857,0.005239007,0.08067672
GALAXY,0.6560021,0.0002200287,23.95864,0.4489005,0.4658606,22.02588,0.1321316,0.3222802
GALAXY,0.1346354,6.815608E-06,18.84748,0.01319963,0.3003054,18.39644,0.01192759,0.2077499
GALAXY,0.6242685,0.000260717,23.39067,0.308506,0.1168949,21.23968,0.07638881,0.08086738
GALAXY,0.1461709,2.64687E-05,18.91847,0.01504109,0.1576709,18.362,0.01388736,0.109076
QSO,2.069813,0.0006051777,21.74117,0.05802366,0.08949548,21.76236,0.08791118,0.06191256
QSO,0.9813576,0.000229081,22.12144,0.09663866,0.06058001,21.52347,0.07952029,0.04190897
GALAXY,0.2963792,4.243565E-05,20.03492,0.02733335,0.1453986,18.4476,0.01153461,0.1005861
GALAXY,0.5398551,0.0001873572,22.03891,0.1379748,0.06362545,20.95839,0.06853718,0.04401579
GALAXY,0.5495179,0.0001196743,22.18638,0.1934374,0.05757261,20.07702,0.05213352,0.03982846
GALAXY,0.644811,0.0001283125,22.1002,0.08678407,0.06740429,21.03236,0.05449673,0.04662997
GALAXY,0.1755823,1.890405E-05,18.35765,0.00937802,0.1103916,17.63243,0.007812202,0.0763684
GALAXY,0.9467316,0.0001445397,22.87543,0.1483996,0.09287135,21.51207,0.06666931,0.06424797
GALAXY,0.02491309,1.456175E-05,14.90393,0.002548485,0.05316157,14.28374,0.002292583,0.03677693
QSO,0.8920828,0.0001778383,21.65399,0.05503744,0.04320124,21.43637,0.06289431,0.02988642
QSO,1.91431,0.0004773868,20.93856,0.03078787,0.09327922,21.09737,0.04511102,0.06453013
