#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.3732538,0.0001069207,21.36068,0.09478918,0.1517627,19.52611,0.02865706,0.1049888
GALAXY,0.7492943,0.0003041328,23.21393,0.3877369,0.1401422,21.40241,0.1204182,0.0969497
GALAXY,0.4939258,0.0001362605,22.36672,0.1523394,0.1114534,20.7932,0.05596153,0.07710294
GALAXY,0.6703696,0.0001236923,23.93688,0.8080769,0.1641306,21.21455,0.1212593,0.1135448
GALAXY,0.04573073,7.85877E-06,18.34837,0.008014986,0.08031132,17.56805,0.006377211,0.055559
GALAXY,0.68479,0.0001185762,23.06612,0.3177643,0.1484575,21.105,0.08721687,0.1027022
GALAXY,0.6529681,0.000237675,24.89229,0.9981667,0.1290272,21.30149,0.1036694,0.08926043
GALAXY,0.5626634,0.000163396,22.4394,0.2103852,0.06567984,20.48877,0.05480244,0.04543701
QSO,1.820686,0.0005264617,20.61205,0.02287095,0.03782,20.51275,0.03070458,0.0261637
GALAXY,0.5882996,0.0001397548,22.24837,0.2072843,0.03561273,20.44068,0.06469611,0.02463672
GALAXY,0.609217,0.0001226337,22.56592,0.2123622,0.1971942,20.87392,0.0740682,0.136418
GALAXY,0.08675204,2.964345E-05,18.04639,0.007693708,0.08541953,17.06625,0.005438352,0.05909283
GALAXY,0.07869069,1.599026E-05,17.26998,0.007174099,0.02652251,16.64525,0.006561422,0.01834815
GALAXY,0.09250572,2.578447E-05,18.3259,0.009858279,0.1414987,17.34979,0.006699766,0.09788817
GALAXY,0.07885697,1.494443E-05,16.257,0.004980647,0.08452854,15.32327,0.003549477,0.05847646
QSO,2.49624,0.0004659944,20.82513,0.03227187,0.1000105,20.75636,0.04172375,0.0691868
GALAXY,0.5680778,0.000149387,21.84294,0.1038635,0.1263914,20.4756,0.0445767,0.087437
QSO,0.986739,0.0001880973,17.63391,0.005398189,0.1164245,17.37311,0.005481021,0.08054195
GALAXY,0.310086,4.24075E-05,19.94739,0.03244329,0.07011362,18.33183,0.01286124,0.04850428
QSO,0.5386615,0.0001059155,18.75726,0.008411069,0.08652252,18.93735,0.0113156,0.05985588
GALAXY,0.1537329,1.278376E-05,19.38022,0.01412753,0.1606742,18.82441,0.01262594,0.1111537
GALAXY,0.1222545,7.468103E-06,18.09828,0.008492756,0.09424753,17.51705,0.007531542,0.06520001
QSO,2.915466,0.0004610771,19.85522,0.01466755,0.2092033,19.5749,0.0149128,0.1447258
GALAXY,0.4763337,0.0001113321,21.23805,0.08002709,0.09576467,19.89404,0.03836476,0.06624956
GALAXY,0.4741775,0.0002180954,22.41627,0.1673014,0.2073751,20.61381,0.04729536,0.1434611
GALAXY,0.5761921,0.0002324848,22.61107,0.2618288,0.04654434,20.85567,0.08999078,0.03219916
GALAXY,0.05488825,7.615648E-06,16.63161,0.004015763,0.2034621,15.8794,0.003498629,0.1407541
GALAXY,0.1882635,3.658096E-05,18.95371,0.01281558,0.06172298,17.71613,0.007154861,0.04269967
GALAXY,0.02107505,7.205485E-06,18.01044,0.006871779,0.09522017,17.62178,0.006791891,0.06587287
QSO,2.576172,0.0008989992,21.91143,0.06407308,0.07465682,21.7831,0.08231515,0.05164724
GALAXY,0.9061394,0.0003257711,23.19341,0.597264,0.09178173,21.819,0.2702012,0.06349418
GALAXY,0.09370783,1.492604E-05,17.47006,0.005895133,0.1472293,16.45323,0.003968649,0.1018525
GALAXY,0.7335991,0.0003141203,23.18951,0.2770511,0.1561753,21.346,0.08170237,0.1080413
GALAXY,0.5611472,0.0001338634,22.51897,0.1532186,0.1982531,20.85947,0.05276063,0.1371506
GALAXY,0.2120516,6.719012E-06,19.16743,0.01324374,0.0752217,18.51263,0.0116469,0.05203802
GALAXY,0.4632914,0.0001414211,20.95352,0.06710781,0.03377181,19.49715,0.03193225,0.02336318
GALAXY,1.481442,0.000114296,22.11915,0.09308475,0.08622009,21.89298,0.1107447,0.05964666
