#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.3622697,7.110239E-05,20.73522,0.04656593,0.04798146,19.02408,0.01651629,0.03319335
GALAXY,0.03699167,5.817237E-06,17.93771,0.008223564,0.1624429,17.62797,0.00877307,0.1123773
GALAXY,0.5213093,0.0001182778,21.65132,0.1306328,0.05816618,19.91978,0.04108855,0.04023909
GALAXY,0.6040524,0.000158816,22.86037,0.1925984,0.03456822,20.98602,0.0619627,0.02391413
QSO,2.640338,0.0007993774,21.17734,0.03838764,0.03777117,21.06918,0.0524275,0.02612992
GALAXY,0.2331295,4.309933E-05,18.82009,0.01090777,0.04911775,17.6532,0.006285886,0.03397943
GALAXY,0.4597598,0.0001201998,22.40212,0.1543186,0.09996161,20.4887,0.03937456,0.06915298
QSO,1.50503,0.0004825506,19.45172,0.01185204,0.1854561,19.31561,0.01269163,0.1282977
GALAXY,0.3582249,7.607543E-05,21.19237,0.06420123,0.1246872,19.39946,0.02154579,0.08625805
QSO,1.159344,0.000277679,18.83318,0.008968184,0.2180522,18.52929,0.008716213,0.1508475
GALAXY,0.07992403,2.232361E-05,17.69159,0.006995753,0.1229557,16.81246,0.00515937,0.08506016
GALAXY,0.332296,5.412129E-05,21.3893,0.08215357,0.1799382,19.86882,0.02982907,0.1244804
GALAXY,0.174971,3.690655E-05,18.5373,0.0107168,0.1676032,17.18136,0.00609352,0.1159471
GALAXY,0.8500966,0.0001319249,23.25036,0.2686239,0.1420657,22.35363,0.1969503,0.09828039
GALAXY,0.03469877,1.159087E-05,16.82621,0.008212399,0.06886427,16.21705,0.00550857,0.04763998
QSO,1.51309,0.0001798644,22.09326,0.08392844,0.08745488,21.86572,0.1017983,0.06050088
GALAXY,0.4558841,0.0001054282,21.63246,0.08113591,0.02785911,20.04225,0.0341709,0.0192728
GALAXY,0.7670761,0.000441395,22.87329,0.3098986,0.06217903,22.00096,0.2417376,0.04301516
GALAXY,0.5561818,0.0001602388,22.04613,0.1270832,0.04141257,20.67525,0.0672906,0.02864902
GALAXY,0.1279941,8.008265E-06,18.32146,0.007147845,0.1252358,18.14821,0.008046575,0.08663757
GALAXY,0.5373172,0.0001530927,22.06657,0.1122645,0.03664859,20.30718,0.04013662,0.02535332
GALAXY,0.5352175,9.780813E-05,21.56654,0.09753407,0.08363334,20.34519,0.04719334,0.05785716
GALAXY,0.480505,9.723351E-05,22.2014,0.1128882,0.1653476,20.53104,0.03842948,0.1143867
QSO,3.50345,0.001357912,22.38384,0.1046604,0.1566059,21.38764,0.06061919,0.1083392
GALAXY,0.4587595,0.0001675274,22.41583,0.1411292,0.08532203,20.50585,0.04310902,0.05902538
GALAXY,0.04405376,1.571234E-05,15.17318,0.002847227,0.06664785,14.3414,0.002358885,0.04610667
GALAXY,0.7663368,0.0003307523,23.20523,0.3605008,0.05206273,21.1926,0.09444199,0.03601675
QSO,1.186537,0.0003330844,20.975,0.02751249,0.05622837,20.41143,0.02414923,0.03889853
GALAXY,0.5104983,0.0001844816,23.25871,0.2684286,0.03440971,20.94508,0.05071594,0.02380448
GALAXY,0.5812731,0.000190284,21.38486,0.08581376,0.04791298,20.29073,0.0551095,0.03314598
GALAXY,0.4549778,0.0001263439,21.05659,0.05865316,0.1082543,19.28523,0.02082021,0.07488985
GALAXY,0.1414224,3.224481E-05,17.74805,0.007020577,0.04652619,16.65519,0.004516998,0.0321866
QSO,1.691491,0.0008392837,20.57893,0.03055442,0.04893452,20.64303,0.04078351,0.03385267
GALAXY,0.463448,0.0001642306,22.31921,0.1472879,0.0425431,20.61177,0.05194756,0.02943112
GALAXY,0.3106901,6.397972E-05,20.47163,0.04138232,0.2101643,18.90075,0.01648966,0.1453907
GALAXY,0.5575814,0.0001184174,21.84386,0.09154601,0.06185852,20.32281,0.03966812,0.04279344
QSO,0.8395188,0.0001385442,21.53611,0.05096383,0.02586956,21.15097,0.0499325,0.01789644
GALAXY,0.6075711,0.0001826456,22.61545,0.1681602,0.03125018,21.02529,0.05635841,0.02161873
GALAXY,0.6106369,0.000149326,20.99806,0.1071033,0.1804234,19.64939,0.04837294,0.1248161
GALAXY,0.1087587,2.856594E-05,18.2904,0.008593085,0.1396947,17.33546,0.006000449,0.09664012
QSO,1.533662,0.0004647399,19.83509,0.0145306,0.1396827,19.341,0.0131811,0.09663187
GALAXY,0.5240973,0.0001456058,22.37551,0.140327,0.1040017,20.89689,0.05275065,0.07194789
GALAXY,0.3670375,6.023436E-05,20.56418,0.03657766,0.132041,18.82482,0.01351791,0.09134535
GALAXY,0.6292939,0.0001635624,22.66403,0.2278199,0.1310505,20.7627,0.06636921,0.09066013
GALAXY,0.3076771,4.116799E-05,20.39931,0.04878782,0.07672589,19.18461,0.0254456,0.05307861
GALAXY,0.1496339,2.711171E-05,18.34648,0.008569512,0.1925558,17.19412,0.005377773,0.1332092
GALAXY,0.1333111,3.60333E-05,18.85489,0.01134115,0.1440481,17.77777,0.007362862,0.09965183
GALAXY,0.5793918,0.0002064449,21.04088,0.07347505,0.1192161,19.83506,0.04017356,0.08247313
GALAXY,0.5456164,0.0001748731,22.101,0.1970439,0.2624725,20.35115,0.05936888,0.1815773
GALAXY,0.05272934,1.508584E-05,17.50193,0.006400557,0.1145274,16.50858,0.004484697,0.07922956
GALAXY,0.331428,2.153423E-05,20.56224,0.04611334,0.1841434,19.52054,0.02919902,0.1273896
GALAXY,0.07842737,8.051097E-06,17.63842,0.005929619,0.130708,16.9412,0.005042108,0.09042317
GALAXY,0.5789367,0.0001707066,22.4556,0.2182207,0.06720053,20.97304,0.08324609,0.04648901
GALAXY,0.7371197,0.0002628272,24.12683,1.038871,0.1371848,21.74474,0.1861529,0.09490378
GALAXY,0.0380542,8.208821E-06,17.08966,0.004339188,0.05471741,16.26136,0.003511363,0.03785325
GALAXY,0.6688749,0.000222974,22.65264,0.258525,0.05050525,21.12075,0.1031647,0.0349393
GALAXY,0.1997571,3.090563E-05,18.74898,0.01259033,0.03599883,17.36367,0.006640452,0.02490382
GALAXY,0.5530334,0.0003150896,24.78418,1.242625,0.1358688,21.64736,0.1620389,0.09399338
GALAXY,0.4552909,0.0001945884,22.09515,0.1219512,0.1890345,20.47284,0.042188,0.1307732
GALAXY,0.2844296,5.789972E-05,19.61111,0.02515006,0.1118178,18.0004,0.01079995,0.07735504
GALAXY,0.2991502,6.594929E-05,19.84508,0.02756389,0.1386963,18.24364,0.01146579,0.09594943
GALAXY,0.08957521,1.070923E-05,17.8937,0.01066601,0.1622123,17.41347,0.01060701,0.1122177
GALAXY,0.2718375,3.371405E-05,19.3888,0.02735008,0.1864688,18.01204,0.0135662,0.1289982
