#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.06360599,6.274193E-06,20.08737,0.01909451,0.275511,19.72318,0.01913432,0.1905972
GALAXY,0.1903572,2.753662E-05,18.5024,0.01008921,0.06379525,17.25141,0.00596784,0.04413326
GALAXY,0.08238391,2.046522E-05,17.41266,0.00627972,0.09260167,16.52953,0.00465314,0.06406141
GALAXY,0.09618083,6.791686E-06,18.73973,0.009827073,0.1484486,18.46212,0.01013559,0.1026961
GALAXY,0.0953708,2.199896E-05,16.8914,0.005669544,0.2974741,15.93562,0.0041801,0.2057912
GALAXY,0.08209267,1.338125E-05,16.97396,0.004433323,0.08530001,16.15437,0.00349671,0.05901015
GALAXY,0.04336261,8.077212E-06,17.13294,0.00434339,0.153256,16.29627,0.00346702,0.1060218
GALAXY,0.6031445,0.0001613832,21.46593,0.1220744,0.07344992,20.20116,0.0637481,0.05081232
GALAXY,0.07882516,1.072394E-05,19.88708,0.01814215,0.1308348,20.35807,0.03744521,0.09051093
GALAXY,0.09612575,2.087525E-05,17.48613,0.005392659,0.1522214,16.56103,0.00405567,0.105306
GALAXY,0.04332751,7.287969E-06,18.15357,0.009334305,0.2190123,17.73538,0.009359055,0.1515117
GALAXY,0.175979,3.679832E-05,18.57193,0.01457289,0.09772781,17.32372,0.007914972,0.06760764
GALAXY,0.5121474,9.603277E-05,21.9119,0.1777241,0.07500906,20.08497,0.05647207,0.05189092
GALAXY,0.4896034,0.0001348672,21.91712,0.134623,0.0947284,20.51806,0.06104676,0.06553267
GALAXY,0.616502,0.0002676211,22.80587,0.2969104,0.03318946,21.15941,0.1057694,0.02296031
GALAXY,0.6197993,0.0001221854,22.44707,0.1629158,0.1409597,20.75789,0.05591891,0.09751525
QSO,1.205816,0.0004049229,21.07675,0.03767788,0.08975345,20.71635,0.03785689,0.06209102
GALAXY,0.5105942,0.0001542729,23.06517,0.3258536,0.06578054,21.1455,0.08803024,0.04550667
GALAXY,0.6557523,0.0002278052,22.18998,0.1691335,0.07890677,20.66204,0.06760583,0.05458734
GALAXY,0.2450727,3.902134E-05,18.60557,0.01589997,0.07988881,17.0952,0.007356914,0.05526671
QSO,1.912868,0.0003301646,20.55292,0.02786336,0.1905457,20.6971,0.04687948,0.1318186
GALAXY,0.541441,9.648297E-05,21.97773,0.1810381,0.1764397,20.43033,0.07891858,0.1220601
QSO,1.611822,0.0008358009,20.02892,0.01871114,0.201066,19.97603,0.02228301,0.1390965
GALAXY,0.09727222,2.343058E-05,18.57145,0.009294837,0.06434262,17.60068,0.006589807,0.04451192
GALAXY,0.5382134,0.0001180001,21.93568,0.1395896,0.09640623,20.10675,0.04021588,0.06669338
GALAXY,0.4324765,8.868818E-05,20.98967,0.07190305,0.06437275,19.3475,0.02550926,0.04453277
GALAXY,0.06245598,2.194447E-05,17.46799,0.006468253,0.221095,16.43908,0.004508494,0.1529525
GALAXY,0.09674912,7.067762E-06,17.81863,0.007339711,0.03283795,17.22758,0.006610082,0.02271714
GALAXY,0.4841267,8.196461E-05,21.72441,0.09893438,0.05392152,20.28515,0.04021012,0.03730266
GALAXY,0.6886301,3.058105E-05,21.94865,0.1719195,0.1165033,21.24054,0.1354445,0.08059643
GALAXY,0.4769012,0.0001452824,21.88583,0.09010031,0.09302998,20.39353,0.03599199,0.06435771
QSO,2.403636,0.0005155035,19.81667,0.01407939,0.04635597,19.77845,0.0180744,0.03206884
GALAXY,0.3450918,5.249842E-05,20.15206,0.02802458,0.04353366,18.36388,0.01081945,0.03011638
GALAXY,0.6972304,0.0002386455,22.13626,0.4060381,0.1050195,20.03509,0.0891474,0.07265203
GALAXY,0.5207521,0.0001749131,22.29758,0.150658,0.1662375,20.61413,0.05773506,0.1150023
GALAXY,0.1494193,1.74056E-05,18.39762,0.01283643,0.07999611,17.42404,0.008393828,0.05534094
GALAXY,0.5598724,0.0001237677,21.91184,0.1295103,0.08978119,20.41247,0.05078897,0.06211021
GALAXY,0.5231041,0.0001889687,22.17292,0.164355,0.1301669,20.74031,0.07714333,0.09004884
GALAXY,0.07980207,2.3076E-05,18.68229,0.01401791,0.2690798,17.61839,0.008256133,0.1861481
GALAXY,0.2269059,5.147781E-05,19.25487,0.0305956,0.1803919,17.71902,0.01146342,0.1247943
GALAXY,0.3780544,0.0001146435,20.60731,0.0488121,0.07615274,18.82645,0.01647839,0.05268212
GALAXY,0.1603373,4.254688E-05,19.00282,0.01649209,0.4082117,17.67092,0.008489184,0.2823989
GALAXY,0.1875464,5.875875E-05,18.98643,0.01701747,0.1912134,17.66225,0.008669393,0.1322805
GALAXY,0.2857449,5.676465E-05,19.75982,0.02845071,0.195341,18.08389,0.01039458,0.135136
GALAXY,0.4717101,0.0001323486,22.26813,0.15463,0.2516683,20.5432,0.04948518,0.1741029
GALAXY,0.5734371,0.0001401663,22.05903,0.1597825,0.1177375,20.36275,0.05353386,0.08145023
GALAXY,0.5513637,0.0002232941,23.13058,0.46558,0.1177251,20.90304,0.09217075,0.08144169
GALAXY,0.3185973,5.731603E-05,20.39925,0.03651754,0.04535627,18.7955,0.01499609,0.03137726
GALAXY,0.4085178,7.619333E-05,21.68863,0.2716469,0.1372901,19.22658,0.0434693,0.09497663
GALAXY,0.3423031,6.295289E-05,20.49788,0.04978137,0.1728375,18.80839,0.01802148,0.1195682
GALAXY,0.143667,1.878931E-05,18.32891,0.009360638,0.1940536,17.34752,0.006496479,0.1342454
GALAXY,0.3449247,7.640998E-05,20.20616,0.03530296,0.05525582,18.48252,0.012165,0.03822572
QSO,1.568346,0.0001578651,17.19537,0.004530797,0.02410213,17.11151,0.004496505,0.01667374
GALAXY,0.03932494,9.27411E-06,17.72644,0.007087993,0.1659452,16.95987,0.00540003,0.1148002
GALAXY,0.3764865,6.067081E-05,20.8936,0.0618225,0.2290288,19.09378,0.0205416,0.1584411
QSO,0.6072043,9.102627E-05,21.07555,0.05663307,0.04879824,20.33896,0.04387674,0.03375839
GALAXY,0.5023934,0.0001509041,22.30932,0.1615535,0.03723762,20.39602,0.04565418,0.02576081
GALAXY,0.3793893,8.981099E-05,21.52583,0.09860224,0.2182803,19.44169,0.0235557,0.1510053
QSO,2.054398,0.0009688443,20.39002,0.0224271,0.1322371,20.38405,0.02741172,0.09148104
GALAXY,0.1541896,3.450895E-05,18.22195,0.01271837,0.07457796,17.18075,0.007702624,0.05159269
GALAXY,0.6238018,0.0003170512,23.36068,0.3253298,0.1349787,21.10183,0.06578071,0.09337761
GALAXY,0.03175985,1.551787E-05,17.1136,0.004721999,0.05011068,16.31446,0.003615746,0.03466633
GALAXY,0.4427419,0.0001021821,21.99988,0.1004944,0.05321204,20.47903,0.04037619,0.03681184
GALAXY,0.2446844,3.878323E-05,19.03318,0.02039153,0.1402709,17.69385,0.01033072,0.09703876
GALAXY,0.5548094,0.0001134154,22.42461,0.1352914,0.0337363,20.79951,0.05086745,0.02333862
QSO,1.540618,0.0005712239,19.62586,0.01381502,0.0877891,19.16423,0.01294654,0.06073209
GALAXY,0.1298009,3.877636E-05,18.94961,0.01156441,0.16903,17.75847,0.006977975,0.1169342
QSO,2.806512,0.000792408,21.23731,0.05009374,0.2169041,20.95073,0.04962843,0.1500532
GALAXY,0.08682939,1.108343E-05,18.53569,0.0125627,0.4465506,18.03254,0.0111991,0.3089216
GALAXY,0.1705915,2.631921E-05,18.64908,0.01325059,0.1098368,17.54945,0.008312142,0.07598462
GALAXY,0.7045262,0.0002296746,23.4203,0.3301537,0.03521269,21.86663,0.1296316,0.02435997
GALAXY,0.4958276,0.0001574989,21.23375,0.1414528,0.03369858,19.65993,0.05235883,0.02331252
GALAXY,0.08228609,3.599756E-05,18.46482,0.01057562,0.06182256,17.58386,0.007335139,0.04276856
GALAXY,0.07361545,1.796604E-05,17.20878,0.006105529,0.08808258,16.49369,0.004900802,0.06093512
GALAXY,0.5719659,0.0001116697,21.99356,0.120671,0.03761782,20.79481,0.05821147,0.02602383
GALAXY,0.423298,9.652678E-05,21.86516,0.1001712,0.1480496,20.03475,0.03119712,0.10242
GALAXY,0.08513498,7.035771E-06,17.81688,0.005555156,0.03244085,17.25408,0.005022174,0.02244243
GALAXY,0.5746154,0.0001232206,22.46716,0.1529536,0.02192574,20.76991,0.05105465,0.01516812
GALAXY,0.282848,5.140443E-05,20.85566,0.05228427,0.03540456,19.17521,0.01838976,0.02449271
QSO,2.112175,0.0003939829,19.57104,0.01392827,0.05961367,19.35101,0.01507062,0.04124046
GALAXY,0.5695341,0.0001491125,22.15782,0.1265964,0.06056309,20.49284,0.04839993,0.04189727
QSO,1.668934,0.0003960754,18.89499,0.008666635,0.1188312,18.85493,0.009768845,0.08220688
GALAXY,0.05155195,6.731692E-06,17.68581,0.005803775,0.1968785,17.15906,0.005091484,0.1361996
GALAXY,0.6778541,0.0003006749,21.97174,0.2775438,0.2199725,20.40942,0.1004214,0.1521759
GALAXY,0.1068252,2.561213E-05,17.57281,0.006022016,0.2007593,16.53213,0.004196777,0.1388844
GALAXY,0.1367382,2.559052E-05,18.80155,0.01041391,0.0927133,17.70481,0.006630054,0.06413864
