#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
QSO,1.512352,0.0002520392,16.79523,0.004283309,0.1278764,16.68399,0.004790941,0.08846432
GALAXY,0.2025311,2.069995E-05,18.42318,0.01026721,0.08465723,17.46051,0.007231625,0.05856548
GALAXY,0.1576064,2.735217E-05,18.68749,0.01190423,0.2235013,17.42633,0.006728956,0.1546172
GALAXY,0.2261391,4.658694E-05,22.2027,0.09458821,0.2421836,22.16919,0.1301238,0.1675415
GALAXY,0.5326885,0.0001108511,22.8003,0.224321,0.1068139,20.57904,0.04590998,0.07389333
GALAXY,0.5105142,0.0001785614,22.59436,0.2092288,0.1897801,21.04379,0.08282182,0.131289
GALAXY,0.599054,0.0002081038,23.6743,0.5379701,0.1324518,21.68222,0.1150524,0.09162951
GALAXY,0.06455608,8.456642E-06,17.40135,0.005221126,0.04655742,16.97281,0.004968884,0.0322082
QSO,0.7652048,0.0002057083,21.77916,0.07453223,0.09236813,21.3124,0.07071178,0.06389984
QSO,1.419342,0.000276829,18.49675,0.007436014,0.03708743,18.32689,0.008095797,0.02565691
GALAXY,0.5796705,0.0001967338,23.81993,0.6470664,0.1856074,20.89973,0.07622703,0.1284024
GALAXY,0.5591639,0.0001583911,21.09628,0.08990271,0.1458221,19.90333,0.04695776,0.100879
QSO,0.9056506,0.0001248205,20.44205,0.02697675,0.149366,20.0947,0.02508853,0.1033307
GALAXY,0.04777507,1.199517E-05,16.26056,0.003754185,0.1296932,15.5517,0.003205051,0.08972113
GALAXY,0.5221385,0.0002070051,22.69286,0.1638867,0.1211705,21.1541,0.06364042,0.08382522
GALAXY,0.1568462,2.667422E-05,18.72795,0.01361912,0.3603053,17.66295,0.008816392,0.2492576
GALAXY,0.3302127,4.250802E-05,21.39229,0.04789274,0.06940372,21.66693,0.08484669,0.04801317
GALAXY,0.4667789,0.0001620981,21.93933,0.1008035,0.2053785,20.26164,0.03695931,0.1420799
QSO,0.7136491,0.0005972246,20.37973,0.02187925,0.05831101,20.32775,0.02428664,0.04033928
GALAXY,0.6057506,0.0001923295,22.17947,0.1465546,0.1224042,20.66995,0.05978224,0.08467868
QSO,0.7795973,0.000106735,18.91662,0.009174856,0.03817511,18.53585,0.008622037,0.02640936
GALAXY,0.03637255,1.442214E-05,21.42248,0.05020807,0.0777401,21.58566,0.08025686,0.05378024
GALAXY,0.07059368,1.33815E-05,17.1726,0.004680129,0.04462596,16.26738,0.003619447,0.03087203
GALAXY,0.517346,0.0003365763,21.39334,0.1113662,0.05416202,19.81486,0.04171455,0.03746903
GALAXY,0.1623833,2.628398E-05,18.47693,0.01036998,0.04953894,17.34245,0.006310596,0.03427081
GALAXY,0.07046274,2.025654E-05,18.30384,0.007707895,0.04308135,17.42677,0.005815668,0.02980348
GALAXY,0.5076263,0.0001495413,22.02057,0.1137068,0.05137709,20.32942,0.03996633,0.03554243
GALAXY,0.6437376,0.0002670029,23.41957,0.8042079,0.1829845,20.35895,0.07202833,0.1265878
GALAXY,0.0617865,6.526489E-06,17.10338,0.004206494,0.1051688,16.67304,0.003963642,0.07275526
GALAXY,0.5379176,0.0002788804,22.13259,0.1195316,0.06119393,20.44705,0.04316049,0.04233368
GALAXY,0.1260119,5.794866E-06,18.30688,0.009305575,0.1924694,17.68362,0.008107303,0.1331495
GALAXY,0.04542203,8.433114E-06,16.66881,0.004201182,0.1808648,16.06569,0.00370079,0.1251214
GALAXY,0.07245813,7.932453E-06,17.99296,0.007141853,0.1791213,17.67703,0.007099293,0.1239153
GALAXY,0.1502495,2.272232E-05,17.89108,0.008819566,0.1651011,16.9199,0.006459742,0.1142162
GALAXY,0.160659,2.189988E-05,17.44891,0.007663958,0.1922952,16.189,0.004388088,0.1330289
GALAXY,0.2049792,6.116596E-06,19.24019,0.01293177,0.06581005,18.85878,0.01328968,0.04552709
GALAXY,0.5021591,0.0001139055,21.88305,0.114804,0.05240806,20.28474,0.04373889,0.03625565
GALAXY,0.2442379,4.145932E-05,19.6328,0.02113332,0.0512225,18.21603,0.01028267,0.03543549
GALAXY,0.4610728,0.000142027,22.04971,0.1095314,0.03725762,20.62457,0.0461067,0.02577465
GALAXY,0.5239848,0.0001846481,21.56771,0.128425,0.04720937,20.53943,0.08544525,0.03265923
QSO,2.474292,0.0003350446,20.62042,0.02505845,0.02563804,20.42965,0.03019831,0.01773628
GALAXY,0.08335661,3.129653E-05,17.90742,0.006983389,0.06351289,17.01283,0.005202719,0.04393792
QSO,1.534582,0.0006021896,21.08109,0.04353929,0.04551303,21.15294,0.05678207,0.0314857
GALAXY,0.06962548,1.274188E-05,16.74027,0.00428941,0.0607774,16.0276,0.003536929,0.04204553
QSO,2.02915,0.0004034066,19.87014,0.01405923,0.08612475,19.76972,0.01657588,0.0595807
GALAXY,0.2109515,1.158932E-05,19.37536,0.01494561,0.04837001,18.79133,0.01353762,0.03346215
GALAXY,0.04751511,9.512399E-06,16.77192,0.006451231,0.06823647,16.70236,0.007814891,0.04720568
GALAXY,0.5588287,0.0001751572,22.02379,0.1251247,0.07598955,20.72083,0.06106585,0.05256922
QSO,1.353233,0.0007541139,22.16153,0.0824847,0.06700813,21.46433,0.0605154,0.04635591
