#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.03688883,9.426373E-06,16.07704,0.00354392,0.2698074,15.35778,0.003005881,0.1866515
QSO,2.312938,0.0002891776,20.35395,0.02038853,0.08717867,20.32695,0.02576997,0.0603098
GALAXY,0.0833687,1.780811E-05,16.72331,0.004285313,0.07247801,15.77264,0.003283439,0.05013995
GALAXY,0.1258021,3.794996E-05,18.35956,0.009016436,0.07213942,17.34937,0.005982359,0.04990572
GALAXY,0.3308631,8.103794E-05,20.27095,0.0379393,0.06098013,18.59345,0.01429101,0.04218577
GALAXY,0.0779406,8.814675E-06,17.67937,0.008687597,0.2978955,16.77028,0.005629262,0.2060827
GALAXY,0.5375389,0.0001003741,22.06083,0.1744031,0.226098,20.42545,0.05948626,0.1564135
QSO,0.6985396,0.0001448149,17.78961,0.005375373,0.1400674,17.85003,0.005993932,0.09689796
GALAXY,0.4977449,0.0001342191,22.24652,0.1518558,0.1861237,20.68354,0.06115066,0.1287595
GALAXY,0.1071921,1.971505E-05,17.17119,0.006661177,0.08794823,16.35912,0.005136313,0.06084218
GALAXY,0.4343866,0.000107594,21.96779,0.1390564,0.1031459,20.29852,0.04551529,0.07135585
GALAXY,0.4881917,0.0001313896,22.39295,0.1618496,0.0838711,20.80148,0.06519172,0.05802164
GALAXY,0.6596396,0.0002587961,23.23017,0.347345,0.08899903,21.75534,0.150375,0.06156911
GALAXY,0.05618602,1.178009E-05,16.79116,0.003995486,0.1699024,15.90078,0.003247085,0.1175377
QSO,1.238347,0.0005384394,21.448,0.05479592,0.06228592,20.82693,0.04140244,0.04308911
GALAXY,0.0500473,1.103777E-05,16.10945,0.003160119,0.1129905,15.25331,0.002629758,0.07816632
QSO,2.193876,0.0001706245,19.01353,0.01073913,0.1104661,18.622,0.0103067,0.07641995
GALAXY,0.4902053,0.0001290062,21.43932,0.08940924,0.02376603,19.88549,0.03256541,0.01644123
GALAXY,0.4929865,9.428115E-05,20.94355,0.06130144,0.04031492,19.29975,0.02417014,0.02788967
GALAXY,0.6163563,0.0002546398,23.14548,0.25152,0.0352904,21.76335,0.1223197,0.02441374
GALAXY,0.5990101,0.0001667351,22.80945,0.2580981,0.06565246,21.04689,0.08339453,0.04541807
QSO,1.061722,0.0005481684,21.63608,0.06946398,0.1164206,21.14166,0.07312912,0.08053926
