#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.6065798,0.000123192,22.68881,0.1688656,0.08946688,21.05777,0.05957527,0.06189277
GALAXY,0.4801292,0.0001694179,22.618,0.2031508,0.1591679,20.47346,0.04495225,0.1101116
GALAXY,0.05830569,1.951423E-05,17.36019,0.004929134,0.4184661,16.38565,0.003691046,0.2894929
GALAXY,0.09509806,3.252604E-05,17.46452,0.006881989,0.08131932,16.70924,0.005532778,0.05625633
GALAXY,0.138391,3.527337E-05,18.46082,0.009446308,0.07430666,17.48179,0.006472958,0.051405
GALAXY,0.5547271,0.0001479966,22.51266,0.2251127,0.1398598,20.52821,0.05921719,0.09675436
QSO,2.204487,0.0007483909,20.63158,0.02322056,0.2049707,20.39833,0.02634335,0.1417978
GALAXY,0.1717328,2.381443E-05,19.94872,0.03017755,0.4451379,19.00245,0.01861935,0.3079444
QSO,0.8746097,7.934279E-05,21.00274,0.04029864,0.1664858,20.73857,0.03959722,0.1151741
GALAXY,0.5375832,0.0001287531,22.07124,0.1864531,0.122588,20.36209,0.06057985,0.08480584
GALAXY,0.1522875,1.624026E-05,18.2709,0.01035927,0.1171328,17.68644,0.009102055,0.0810319
GALAXY,0.5595798,0.0001782616,22.58983,0.2354157,0.2180097,20.82391,0.07197826,0.1508181
GALAXY,0.5387557,0.0001463024,22.41533,0.1623138,0.2867914,20.9363,0.06930183,0.1984009
GALAXY,0.1495884,1.757726E-05,18.18574,0.0113173,0.1196691,17.04043,0.006310419,0.08278656
GALAXY,0.503525,0.0001372009,20.98219,0.08457678,0.1025593,19.3487,0.03134734,0.07095004
GALAXY,0.1256712,1.472396E-05,18.24691,0.009783445,0.07607272,17.45158,0.007038629,0.05262675
GALAXY,0.06356397,1.254781E-05,17.64557,0.007143956,0.1190945,16.91109,0.005811831,0.08238903
GALAXY,0.637967,0.000147153,21.55629,0.09841191,0.07858825,20.70675,0.07039756,0.05436698
GALAXY,0.5074141,0.0001276973,23.03784,0.3002087,0.1585538,20.63241,0.05312982,0.1096868
GALAXY,0.6051511,0.000178697,21.67545,0.1186597,0.03798401,20.78232,0.07885862,0.02627716
GALAXY,0.5642666,0.0001649396,22.4663,0.218463,0.02269902,20.48853,0.05690732,0.01570307
QSO,0.6025756,6.435675E-05,19.63266,0.01458944,0.09012395,19.46189,0.01721498,0.06234733
