#Table1
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.05387435,3.2309E-05,19.06746,0.02705101,1.173416,18.36629,0.02968882,0.8117635
GALAXY,0.4824983,0.0001937895,21.90401,0.1238304,0.1081713,19.91157,0.03115538,0.07483239
GALAXY,0.1258197,3.02371E-05,18.42256,0.009102905,0.08319879,17.3501,0.005778511,0.05755654
GALAXY,0.07636304,9.445812E-06,18.18049,0.008283115,0.1934822,17.39317,0.006413626,0.1338501
GALAXY,0.3570323,8.621172E-05,20.28557,0.03772827,0.07226243,18.60581,0.0140699,0.04999081
GALAXY,0.1064273,3.696959E-05,18.11876,0.008386119,0.1047547,17.27124,0.006199954,0.07246885
QSO,1.759764,0.000636861,20.19526,0.01744504,0.1899785,20.10885,0.02238841,0.1314262
GALAXY,0.07188617,2.056027E-05,18.08418,0.03214144,0.1962782,17.55601,0.01097829,0.1357844
GALAXY,0.05481368,2.092185E-05,17.13501,0.005030647,0.1435178,16.18091,0.003648037,0.09928495
GALAXY,0.5443621,0.0001177725,22.17286,0.1187361,0.1207938,20.58231,0.04316722,0.08356456
GALAXY,0.4389932,7.484478E-05,21.54348,0.08608405,0.1550549,19.63995,0.02730645,0.1072662
GALAXY,0.0381741,7.589857E-06,15.42428,0.00303341,0.1023146,14.74794,0.00257884,0.07078078
GALAXY,0.1484073,3.31268E-05,18.65467,0.009786095,0.08581286,17.57286,0.006309115,0.05936494
GALAXY,0.1923064,1.29544E-05,19.17299,0.01285641,0.1694495,18.41107,0.01033434,0.1172244
GALAXY,0.06881496,1.347101E-05,18.14721,0.009033068,0.158594,17.24154,0.006577386,0.1097146
GALAXY,0.1339215,2.329326E-05,18.05924,0.007745646,0.1795485,16.96493,0.004954615,0.1242108
GALAXY,0.1230688,2.82862E-05,17.77999,0.007482009,0.1398737,16.70964,0.004857008,0.09676395
GALAXY,0.09625461,1.129346E-05,18.21091,0.00988997,0.1290941,17.65605,0.009112176,0.08930673
QSO,2.550539,0.0007367196,21.99141,0.07454471,0.2345073,22.01266,0.106554,0.1622311
GALAXY,0.6112636,0.0002134159,22.34114,0.2280992,0.08084031,20.67031,0.08100852,0.05592495
GALAXY,0.06908277,1.466821E-05,17.14946,0.004823423,0.08156052,16.26071,0.003757891,0.05642319
GALAXY,0.1656152,2.514602E-05,18.07532,0.008100787,0.1657811,16.835,0.004798735,0.1146866
GALAXY,0.5001184,8.086881E-05,21.54215,0.1238263,0.1264302,20.53839,0.0787245,0.08746383
GALAXY,0.3027451,4.678678E-05,20.20847,0.04431894,0.1428728,18.6146,0.01686549,0.09883875
GALAXY,0.4443937,1.441596E-05,21.38687,0.04922149,0.07506686,21.0764,0.0626952,0.05193091
GALAXY,0.3018653,3.969433E-05,20.24845,0.03550535,0.05134201,18.59269,0.01410084,0.03551816
GALAXY,0.5335436,0.0001176963,20.70989,0.09111883,0.04569092,19.27305,0.04091154,0.03160877
GALAXY,0.1149998,2.317696E-05,18.50018,0.00788902,0.09779184,17.6951,0.006249531,0.06765194
