class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,4.087436,0.0005558821,22.04884,0.08328523,0.1655095,20.37999,0.02787733,0.1144987,277488.13528324483,4.308460594431579e-17,14008.081186221014
QSO,2.4657720000000003,-1.0,19.69702,0.01447403,0.1425521,19.53926,0.01823228,0.09861685,253711.57306641084,3.7588078502273686e-16,4742.5798319456535
QSO,1.543808,0.0004333931,21.44983,0.048729900000000013,0.1679965,21.22619,0.05916375,0.1162192,219537.04437841524,7.48042245453999e-17,10631.061979478014
QSO,2.419207,0.0003080785,21.59407,0.05464166,0.1281369,21.67128,0.08216981,0.08864455,252547.47920881485,6.549831464764798e-17,11361.211640754676
QSO,2.2188220000000003,0.0004480538,20.57105,0.02303489,0.03969705,20.43532,0.02692077,0.02746223,247015.8823381421,1.6804984846983592e-16,7092.847952787894
QSO,1.453559,0.0004855762,21.05064,0.036052,0.0578924,20.74409,0.03822079,0.0400497,214380.91445308994,1.0804436594677597e-16,8845.831248760891
QSO,1.76507,0.0019931320000000003,21.46518,0.04093906,0.041977,21.39983,0.05792167,0.02903949,230441.10280096458,7.37540927646703e-17,10706.478522045878
QSO,0.2488668,4.621084e-05,19.90279,0.02270331,0.1126609,18.8871,0.01467303,0.07793827,65549.24777054465,3.1098692147859716e-16,5213.971465917821
QSO,0.2108419,5.192458e-05,18.99336,0.01120008,0.1680395,18.30369,0.009007799,0.1162489,56665.394536764376,7.186445315419429e-16,3429.909413196901
QSO,2.402093,0.0007073568,19.99989,0.01833748,0.1351683,19.77139,0.01968623,0.09350883,252108.8548947423,2.8438201375633365e-16,5452.411813717673
QSO,1.2634459999999998,0.0005130798999999999,18.71218,0.008870093,0.1715659,18.41619,0.008493901,0.1186885,201872.0714167521,9.310781290017368e-16,3013.32968616812
QSO,1.815425,0.0006416917,20.05051,0.01833729,0.0868742,19.98327,0.0228304,0.06009917,232624.25155722466,2.7142767411364716e-16,5581.008065041135
QSO,0.5982625,3.252289e-05,19.42366,0.01181629,0.1644568,19.09441,0.01114328,0.1137705,131106.41835587585,4.83497380172325e-16,4181.601569642948
QSO,1.007854,0.000372484,20.835,0.02906209,0.15038420000000002,20.59191,0.03039466,0.1040351,180625.69358209457,1.317826162371562e-16,8009.596720545331
