class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,2.5028240000000004,0.0006596267,21.92761,0.07886565,0.184523,21.62291,0.08225126,0.1276522,254608.204917605,4.8174157169974197e-17,13247.46101427044
QSO,2.558227,0.0004476742,20.9171,0.04541936,0.1692789,20.59958,0.05224414,0.1171064,255902.12633586486,1.221850652821516e-16,8318.224744757188
QSO,2.415849,0.0008349058999999999,21.81523,0.07511368,0.1913259,21.61854,0.09377889,0.1323584,252461.88004220935,5.342765651027068e-17,12579.305083433255
QSO,2.59145,0.0009447914,21.95618,0.07627396,0.08862074,21.80359,0.08875669,0.06130742,256652.23777801456,4.692303829716335e-17,13422.909129575424
QSO,2.39079,0.001195551,21.31676,0.04112209,0.02425504,21.16702,0.05251388,0.01677952,251815.90369466602,8.455788763583131e-17,9999.140023988546
QSO,0.3427201,3.209487e-05,18.9362,0.01052064,0.06636950000000001,18.64656,0.01078953,0.04591411,85876.33518265339,7.574921302240128e-16,3340.801331754008
QSO,0.570666,0.0001769486,21.13967,0.04576119,0.1998321,20.81864,0.04933013,0.13824289999999995,126851.48475110492,9.953827845188378e-17,9216.046346621986
QSO,2.3032630000000003,0.0004970207,21.68207,0.06467053,0.08850714,21.52574,0.07996456,0.06122883,249456.01187528187,6.039905242358788e-17,11831.087058588291
QSO,2.016218,0.0006175552,19.09725,0.01102672,0.148503,19.00538,0.01195006,0.1027337,240413.3345847583,6.530675806509673e-16,3597.9957839247436
QSO,2.127203,0.000930397,20.37414,0.02183039,0.03528735,20.33419,0.03092666,0.02441163,244169.23280249175,2.0146616763594768e-16,6477.965788957049
QSO,2.550586,-1.0,21.30839,0.05143341,0.2997382,20.98277,0.04965196,0.2073575,255726.91403632765,8.521226811985777e-17,9960.672249506715
QSO,1.3032780000000002,0.001114055,20.50413,0.02246203,0.1095522,20.25635,0.0232801,0.07578772,204697.07328044914,1.7873356802989552e-16,6877.595825248848
QSO,0.229676,4.092126e-05,18.35947,0.006804315,0.16802279999999994,18.12543,0.006980695,0.1162374,61113.98801225357,1.2884575811739985e-15,2561.560691275238
QSO,0.3509755,0.0001074826,19.68558,0.01915966,0.04915125,19.14633,0.01673406,0.03400261,87560.13702884661,3.7986224027163697e-16,4717.660128991463
QSO,1.26959,0.0003383376,19.2034,0.01070364,0.03931481,18.94569,0.01066721,0.0271978,202315.44011653017,5.922405302399891e-16,3778.249644091971
QSO,1.509528,0.0002729751,19.24965,0.0109742,0.04831002,19.07263,0.01170701,0.03342065,217631.99828360783,5.675421553925286e-16,3859.5853575352553
QSO,1.315935,0.0009883892,19.73395,0.01439547,0.04122244,19.12944,0.01177814,0.02851749,205570.76538641393,3.633106469476205e-16,4823.926145422643
QSO,1.821192,0.0005368394,18.6744,0.007710321,0.1434891,18.59999,0.008618748,0.09926507,232867.9578072549,9.640468173284513e-16,2961.3562099173446
QSO,2.435486,0.0001674168,19.743,0.01400401,0.08213131,19.60808,0.01608771,0.05681806,252959.26791650095,3.6029490871638924e-16,4844.0726741761055
QSO,2.4254830000000003,0.0005049621,20.81174,0.03458963,0.2274411,20.56383,0.03583897,0.1573427,252706.85772879023,1.346362867039942e-16,7924.258787214731
QSO,0.8897474,0.0001837187,18.3533,0.00760994,0.1200852,18.27732,0.00788908,0.08307439,168625.1279175246,1.2958004463422452e-15,2554.2926289202187
QSO,0.3531656,6.934449e-05,18.809420000000006,0.008790097,0.03123431,18.67002,0.009862063,0.02160775,88004.10964357501,8.51314685504758e-16,3151.3355599982588
