class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,2.367064,0.0003298501,19.75973,0.01513118,0.1074036,19.64578,0.01627748,0.07430132,251192.38626791537,3.5478571500979275e-16,4881.537727025523
QSO,0.847613,0.0001943701,20.70068,0.03046809,0.07356852,20.55206,0.03511055,0.05089436,163945.32849462624,1.491372481114448e-16,7529.162146354378
QSO,4.099623,0.00037692,20.68806,0.03110594,0.07491228,19.83164,0.02255199,0.05182397,277590.67023253744,1.508808511008161e-16,7485.531635242513
QSO,2.187179,0.00033241129999999995,19.80147,0.0155909,0.06876895,19.68537,0.01809909,0.04757404,246057.1105997705,3.414051949389756e-16,4976.27818182717
QSO,1.85411,0.000832925,18.97589,0.01070167,0.1203847,18.95689,0.01200255,0.08328161,234234.99087865627,7.303013865663539e-16,3402.425699819961
QSO,2.445627,0.0005896278,21.66568,0.05510101,0.05926133,21.57463,0.07384299,0.04099671,253213.15203120062,6.131773796731658e-17,11742.123669536917
QSO,2.43775,0.0004419703,21.50549,0.05046624,0.04874146,21.74122,0.08860669,0.03371911,253016.12268758265,7.106604150528045e-17,10907.083806093628
QSO,1.096541,0.0002433285,19.6692,0.0137875,0.2109101,19.25345,0.01229931,0.1459067,188665.2824399454,3.856364934393606e-16,4682.207433411171
QSO,3.941304,0.03982004,21.72302,0.05135918,0.0279836,20.32046,0.02592649,0.01935893,276202.0633879874,5.816344546660416e-17,12056.316767684633
QSO,2.118596,0.0008397958,21.41966,0.04810973,0.0723276,21.37547,0.0655627,0.0500359,243890.44567523515,7.691200361609005e-17,10484.377508876636
QSO,3.171134,0.0002606259,20.63299,0.02722686,0.05509062,20.41831,0.03147076,0.03811144,267203.4145412792,1.5873113629271614e-16,7298.080511055635
QSO,1.534032,0.0003744446,19.56031,0.01402705,0.08234083,19.55657,0.01844706,0.056963,219000.2184412269,4.2631844702241146e-16,4453.204611311471
QSO,0.6874864,0.0002036937,20.49293,0.02215979,0.05657339,20.17945,0.02271885,0.03913721,143959.39242692888,1.805868510788e-16,6842.2139506818985
QSO,0.24327910000000005,0.0001446359,19.20012,0.01208685,0.030378700000000005,18.47961,0.009878638,0.02101584,64267.92362046847,5.940323891645514e-16,3772.546921847201
QSO,0.840161,5.449606e-05,20.62308,0.02582225,0.08716759,20.5307,0.03293703,0.06030214,163094.19060963593,1.6018657850709727e-16,7264.8499735671985
QSO,0.4845877000000001,8.723897e-05,21.63411,0.07631028,0.09274753,20.51432,0.04113,0.06416231,112656.12952886515,6.312685093388213e-17,11572.645509177779
QSO,2.192412,0.0001613325,19.42541,0.01134024,0.2548408,19.34284,0.01233943,0.1762977,246217.40396679007,4.827187021791643e-16,4184.972900650047
