class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,1.512352,0.0002520392,16.79523,0.004283309,0.1278764,16.683989999999998,0.004790941,0.08846432,217791.35225594294,5.442095080527508e-15,1246.3977321217665
QSO,0.7652048,0.0002057083,21.77916,0.07453223,0.09236813,21.3124,0.07071178,0.06389984,154118.86881769553,5.523242674252986e-17,12372.078021445188
QSO,1.419342,0.00027682900000000003,18.49675,0.007436014,0.03708743,18.32689,0.008095797,0.02565691,212302.8850589666,1.1354241446469596e-15,2728.7305309677054
QSO,0.9056506,0.0001248205,20.44205,0.02697675,0.149366,20.0947,0.02508853,0.1033307,170334.53484868686,1.8925097482069743e-16,6683.75697165966
QSO,0.7136491,0.0005972246,20.37973,0.02187925,0.05831101,20.32775,0.02428664,0.04033928,147481.84835338086,2.0043156854425314e-16,6494.663435447817
QSO,0.7795973,0.000106735,18.91662,0.009174856,0.03817511,18.53585,0.008622036999999999,0.02640936,155902.43421856876,7.71276546430728e-16,3310.812987121992
QSO,2.474292,0.0003350446,20.620420000000006,0.02505845,0.02563804,20.42965,0.03019831,0.01773628,253920.03409254743,1.6057950883483746e-16,7255.956160475842
QSO,1.534582,0.0006021896,21.08109,0.04353929,0.04551303,21.15294,0.05678207,0.031485700000000005,219030.55577405496,1.0505630579979916e-16,8970.747858737515
QSO,2.02915,0.0004034066,19.87014,0.01405923,0.08612475,19.76972,0.01657588,0.0595807,240869.53513425437,3.2048088054196127e-16,5136.16125167761
QSO,1.353233,0.0007541139,22.16153,0.0824847,0.06700813,21.46433,0.0605154,0.04635591,208080.63170184687,3.8837040254982484e-17,14754.233425389504
QSO,0.1710412,2.721365e-05,17.04565,0.00435572,0.04734578,16.4155,0.003698323,0.03275359,46945.73415822864,4.321137890833958e-15,1398.7517732571107
QSO,1.140899,0.0003230113,21.0622,0.04145732,0.1376891,20.36903,0.02968248,0.09525265,192406.33041744883,1.0690010338017529e-16,8893.048280431512
QSO,1.141569,0.00031769970000000003,19.75841,0.01543297,0.03254602,19.47611,0.01517953,0.02251519,192461.48625370773,3.5521731334734944e-16,4878.571227574054
QSO,0.9078239,0.0001774411,20.73546,0.0320075,0.05144061,20.426070000000006,0.03231619,0.03558638,170565.77894146024,1.4443555853957263e-16,7650.726026678718
QSO,0.7758783,0.0002694987,19.2094,0.01091102,0.3020186,19.18508,0.01215967,0.2089351,155444.3821319203,5.889767146824131e-16,3788.7037699190464
QSO,2.014966,0.0009674094,20.68325,0.0296253,0.1041666,20.51838,0.0354617,0.07206196,240368.89718250136,1.5155076229787537e-16,7468.968883220681
QSO,1.2951,0.0002079204,21.99084,0.07673744,0.07485791,21.9147,0.107819,0.05178636,204126.49139468587,4.544876905693773e-17,13638.878172184803
QSO,0.9932349,0.0007814096,20.84561,0.02728894,0.05320408,20.55515,0.02982127,0.03680634,179224.05254487117,1.305010858242981e-16,8048.82806127544
QSO,2.481785,0.001110909,21.54043,0.04321323,0.06458555,21.41104,0.05657146,0.04467998,254102.23242837368,6.881547710043151e-17,11084.00339441077
QSO,2.590243,0.001243415,21.62619,0.06116419,0.08644125,21.31595,0.06942885,0.05979966,256625.3150495581,6.358901901645188e-17,11530.513540098415
QSO,1.717213,0.0003614557,19.96851,0.01695959,0.1763303,19.81354,0.02034741,0.1219845,228270.65354114366,2.9272116518479174e-16,5374.18546625879
QSO,2.363485,0.0009556267,20.7788,0.02758791,0.0399154,20.78146,0.03440931,0.02761329,251097.30737549358,1.3878359247429635e-16,7804.959432853684
QSO,1.351201,0.0004547221,20.70031,0.03070781,0.1688096,20.18276,0.02753924,0.1167817,207946.33462576478,1.491880801505266e-16,7527.87935194347
QSO,1.699544,0.0006369278,19.29138,0.01224675,0.1317299,19.10263,0.01272147,0.09113017,227444.68355897747,5.461426901397111e-16,3934.4737316830415
QSO,1.637161,0.0005994254,19.67727,0.013436600000000002,0.0276394,19.26548,0.01293314,0.01912081,224416.757312254,3.827807818788538e-16,4699.640633674132
QSO,0.8317426,0.0003859037,20.92517,0.03462344,0.2271134,20.59082,0.03156305,0.157116,162123.97632959863,1.212802616409413e-16,8349.19587960544
QSO,0.7841712,0.0002419297,19.3223,0.01051704,0.1681798,19.12798,0.01135632,0.116346,156463.10931093327,5.308088134584725e-16,3990.898201718748
QSO,1.348741,0.000458202,19.59181,0.0134541,0.0231225,19.41022,0.01414564,0.01599604,207783.37935235887,4.141275520279768e-16,4518.274894402834
QSO,2.861243,0.0004607631,21.66821,0.07643104,0.1072014,21.58988,0.1046297,0.07416139999999999,262104.5158011736,6.117502073180337e-17,11755.812485357552
QSO,1.654714,0.001500056,21.3959,0.0450466,0.04660961,21.24834,0.06232939,0.03224431,225286.78076610874,7.861367974834858e-17,10370.283999875483
QSO,1.109552,0.0005928011,20.83995,0.03116947,0.07917903,20.490820000000006,0.03121314,0.05477569,189781.10879939343,1.3118317118440823e-16,8027.875897092326
QSO,1.430616,0.0004514251,21.06139,0.03383707,0.03431027,21.06813,0.04507551,0.02373569,212995.39598723187,1.069798846297528e-16,8889.731624992242
