class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,1.239748,0.0003187045,18.89437,0.008687317,0.4388777,18.53834,0.008348588,0.30361350000000004,200135.2161243096,7.872453882881949e-16,3277.061940127925
QSO,1.978434,0.0009172261,20.97486,0.04594247,0.116483,20.93157,0.06231283,0.0805824,239050.81893434812,1.1585482490943632e-16,8542.454024633455
QSO,1.3008540000000002,0.001064471,20.12466,0.01851457,0.2020469,19.8909,0.02004679,0.1397751,204528.44982945352,2.535094337489107e-16,5774.875823908957
QSO,1.350936,0.0002488728,19.87119,0.01658293,0.1412733,19.54869,0.01705445,0.09773219,207928.80005985335,3.201710978700904e-16,5138.645406376885
QSO,0.2924113,4.790601e-05,20.16266,0.03612149,0.1164813,19.0895,0.02170993,0.08058123,75256.31575877003,2.447902552657631e-16,5876.823533379721
QSO,1.812471,0.0006128039,20.49384,0.02559694,0.14022379999999998,20.35605,0.02811509,0.09700614,232498.92504978168,1.804355572512081e-16,6845.0819215128295
QSO,1.044637,0.00035512550000000003,18.49367,0.007638189,0.113301,18.32183,0.008504556,0.07838111,184054.5498753987,1.1386496715411028e-15,2724.8628638570517
QSO,2.201724,0.0004124978,19.92821,0.01770492,0.10453139999999997,19.87297,0.0202213,0.07231436,246500.9312901159,3.037904555997878e-16,5275.366657722549
QSO,2.360879,0.0002873822,20.93785,0.03218895,0.1621244,20.86548,0.03908926,0.1121569,251027.90651186253,1.1987210318683321e-16,8398.092428187985
QSO,1.1418469999999998,0.0005251127999999999,18.86546,0.008656031,0.1159595,18.60643,0.008712574,0.08022026,192484.36024279098,8.084890181871795e-16,3233.721767822072
QSO,1.341959,0.0007260767999999999,20.5656,0.02372256,0.04341899,20.2418,0.0276038,0.03003706,207332.010676203,1.688955181565597e-16,7075.068517991768
QSO,0.732071,0.000125914,20.35339,0.02027442,0.02436974,20.36946,0.02665592,0.01685887,149898.85022852887,2.0535350753274193e-16,6416.358927002163
QSO,1.394528,0.0004714254,20.69047,0.02598954,0.09861976,20.57774,0.03090263,0.06822469,210750.89291426545,1.5054631350077892e-16,7493.844034585152
QSO,1.337911,0.000472529,21.84974,0.05949195,0.02236171,21.18981,0.05817766,0.01546973,207061.11245950375,5.175616934569597e-17,12780.817988584566
QSO,1.301442,-1.0,21.51847,0.04151773,0.15200039999999998,21.05322,0.03916405,0.1051532,204569.392124639,7.022150372205034e-17,10972.476265808189
QSO,0.989319,0.0006553742,20.59821,0.02375071,0.1348376,20.37002,0.02570318,0.09328004,178844.76054845797,1.6389817781479548e-16,7182.119884214542
QSO,1.032932,0.0004376101,20.38867,0.02037105,0.06838004,20.06369,0.02088732,0.04730499,182978.34993388955,1.9878798209921004e-16,6521.45722611301
QSO,1.652569,0.0005852068,21.78343,0.051907,0.05220541,21.65558,0.06235515,0.03611546,225181.23462204912,5.501563438901069e-17,12396.4305061624
QSO,1.566588,0.0007257561,21.58282,0.04633021,0.04135544,21.34438,0.04979323,0.028609500000000006,220768.4216175647,6.618051237845714e-17,11302.503497860616
QSO,2.734744,0.001111087,21.69228,0.04783048,0.04674832,21.56322,0.06052509,0.03234027,259681.91668295042,5.983373659260134e-17,11886.8463795934
QSO,2.262106,0.0005168593,20.84348,0.02956955,0.1166015,21.04977,0.04825465,0.08066439,248287.63596690254,1.3075735447266637e-16,8040.9368266658785
QSO,0.4892793,6.618179e-05,22.10711,0.1017701,0.1102423,20.62797,0.04272536,0.07626514,113467.50327252087,4.083326669254538e-17,14389.067507060949
QSO,1.6870759999999998,0.0006436398,20.82621,0.03079972,0.03910976,20.85659,0.04218634,0.02705595,226853.60316978587,1.3285384411508833e-16,7977.239850396133
QSO,1.742734,0.0002197604,20.684,0.02677583,0.0242959,20.6577,0.03511622,0.01680779,229440.02635194294,1.5144611088952324e-16,7471.5490192303105
QSO,1.601327,0.0009530724,20.44245,0.0244212,0.03466439,20.17022,0.02398751,0.02398066,222595.02412267102,1.8918126502675096e-16,6684.988278597197
QSO,1.558095,0.0004297272,19.58068,0.01184841,0.03513595,19.30391,0.0123533,0.02430689,220312.49568724268,4.1839465252339493e-16,4495.175479784878
QSO,0.9072661,0.0002940191,21.72216,0.06914223,0.1818398,21.43656,0.07896744,0.1257959,170506.48146616408,5.820953435862877e-17,12051.542873498951
QSO,0.7190621,0.0001427963,20.37267,0.02265504,0.0779913,20.41791,0.03049516,0.05395402,148197.39804861066,2.0173912145374415e-16,6473.581949133808
QSO,2.869047,0.0002372522,21.69318,0.06234682,0.2355832,21.54161,0.06991351,0.1629753,262246.8874394247,5.978415912640327e-17,11891.774086254365
QSO,1.037983,0.0003787738,21.21654,0.0416871,0.02434145,20.78006,0.03873802,0.0168393,183444.44336105062,9.273466879400311e-17,9548.137182967186
QSO,1.21829,0.0006289937,20.72505,0.02794505,0.1868897,20.40418,0.026942,0.1292894,198525.0869940446,1.4582706170383457e-16,7614.136357754323
QSO,2.295194,0.0004933204,20.49464,0.02493251,0.07658304,20.49432,0.03118507,0.05297979,249230.00476885022,1.8030265638790823e-16,6847.60420748141
QSO,2.278841,0.00036023410000000005,21.55519,0.05433423,0.2035195,21.47295,0.06617416,0.14079389999999994,248767.42118760003,6.788629784149557e-17,11159.600562694923
QSO,3.30099,0.0003797438,20.61661,0.02730947,0.08492882,20.1352,0.02325478,0.05875336,269042.1718057985,1.6114399461182325e-16,7243.236240886879
QSO,2.3143830000000003,0.0006127764,20.9013,0.03605467,0.1030106,20.70105,0.04218879,0.07126229,249765.07554043093,1.2397614420949696e-16,8257.9195978933
QSO,3.049716,0.0004184026,19.42335,0.01193393,0.09911916,19.06514,0.0113291,0.06857018,265333.95022399066,4.836354483206842e-16,4181.004645659256
QSO,1.287648,0.00035746970000000004,18.40396,0.006867148000000001,0.1510815,18.24925,0.007198156,0.1045175,203602.3651192699,1.2367278055288952e-15,2614.5843066287202
QSO,2.430512,0.0008786382000000001,20.79925,0.02888347,0.03254283,20.64429,0.02992246,0.02251298,252834.00391319438,1.3619404702829984e-16,7878.810410977726
QSO,1.298459,0.0004397014,20.24611,0.02132391,0.08752266,19.76217,0.02013111,0.06054777,204361.43069285818,2.2668048083851943e-16,6107.066514698272
QSO,1.405366,0.0007948122000000001,20.27575,0.0195328,0.3626829,19.97473,0.018912900000000003,0.2509023,211433.50416950445,2.205759331555637e-16,6190.997806072497
QSO,2.08996,0.0004998403,19.46811,0.01217429,0.04001644,19.40711,0.01380205,0.02768319,242948.19525971514,4.641027322637927e-16,4268.0809725073705
QSO,1.04056,0.4430134,22.09418,0.07899921,0.13731629999999995,21.90219,0.09597898,0.0949948,183681.25435976262,4.1322455933198465e-17,14303.642602758802
QSO,2.36957,0.0004047892,21.4396,0.05519158,0.1661432,21.2912,0.06034714,0.1149371,251258.79929305965,7.551237419635213e-17,10581.095889028089
QSO,1.53966,0.0004314788,21.54399,0.04994286,0.08376833,21.43544,0.06031918,0.05795054,219309.888324956,6.85902088439413e-17,11102.189863177327
QSO,1.016767,0.0003395951,18.83137,0.008686938,0.07399507,18.55205,0.008774427,0.05118944,181469.26764008132,8.342767203494316e-16,3183.351901818784
QSO,2.265801,0.000477761,21.67248,0.06342667,0.12046210000000003,21.54483,0.07600003,0.08333512,248394.13227831403,6.093490315046197e-17,11778.951948541657
QSO,2.15649,0.0004354271,19.7513,0.01358083,0.13887929999999998,19.64361,0.01601976,0.09607605,245102.91612110552,3.575511055363513e-16,4862.623561656081
QSO,2.544939,0.0001948787,20.68864,0.02820235,0.2534714,20.5464,0.03499343,0.1753504,255596.76808054594,1.5080027211370259e-16,7487.531286816516
QSO,0.6230256,0.0001922873,21.71688,0.07142006,0.1368184,21.35113,0.07573588,0.09465035,134808.98983977985,5.849330022621902e-17,12022.27478470077
QSO,3.5202050000000003,0.0010269460000000002,19.51928,0.0142007,0.08744035,18.73879,0.01053006,0.06049083,271816.6353354788,4.427373132310885e-16,4369.851212757255
QSO,1.916407,0.0004730706,19.07021,0.01024478,0.08231955,19.09716,0.01256414,0.05694828,236714.30906107227,6.69536295737227e-16,3553.469974035912
QSO,0.3270913,7.111087e-05,17.32723,0.004732674,0.07446785,17.18262,0.005334431999999999,0.05151651,82643.70233424394,3.3340040665004377e-15,1592.416431009966
QSO,0.7751741,0.0003037313,19.051820000000006,0.01014882,0.17564620000000006,19.1088,0.01301895,0.1215113,155357.42885857643,6.809733643336671e-16,3523.5030365704115
QSO,4.2624330000000015,0.0003595078,22.3982,0.0974909,0.1948282,20.55562,0.02989016,0.13478120000000002,278896.04723220295,3.123044159885739e-17,16453.210351039044
QSO,1.89252,0.0006034737999999999,19.60494,0.01479767,0.1796769,19.53566,0.01673738,0.1242997,235779.86962549255,4.0914959460513826e-16,4545.677806788774
QSO,1.844792,0.0003123743,19.58442,0.01377571,0.1408921,19.4117,0.01383705,0.0974685,233852.13401371206,4.1695590157754513e-16,4502.92434292269
QSO,2.874075,0.0007060734,21.39222,0.06140811,0.05055835,21.19449,0.07770676,0.03497603,262338.19791460305,7.888058543800546e-17,10352.72433573032
QSO,0.5683680999999999,8.331294e-05,20.61743,0.02582069,0.14648,20.465770000000006,0.03236773,0.1013342,126490.92540102328,1.6102233689325318e-16,7245.971976912228
QSO,0.32070959999999993,8.090335999999999e-05,19.404870000000006,0.01252457,0.1153115,19.04828,0.01151342,0.07977194,81306.6401435976,4.919377214064866e-16,4145.573792347136
QSO,1.295182,0.001317329,20.32794,0.0203345,0.0573036,20.03553,0.02102564,0.03964237,204132.23641233423,2.1022391766735531e-16,6341.597151501099
QSO,1.119866,0.0006007168,21.36431,0.06314392,0.07819714,21.05076,0.05477064,0.05409642,190654.6227872788,8.09345814651953e-17,10220.51194441272
QSO,1.965778,0.0009851662,20.29013,0.01804496,0.04573259,20.19524,0.02223216,0.03163759,238584.33615281168,2.1767378308885257e-16,6232.1320968808595
