class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,2.092301,0.002057251,20.06931,0.01549715,0.1400415,20.02314,0.02000891,0.09688006,243026.08420837528,2.667682410194586e-16,5629.536640185899
QSO,2.0313,0.0003484136,19.66841,0.01444303,0.03997316,19.59548,0.01649459,0.02765325,240944.8889836166,3.859171911729739e-16,4680.504316630002
QSO,2.688059,0.001036447,21.16886,0.040568900000000005,0.0467691,20.92774,0.04472298,0.03235465,258730.0019594333,9.689784649894871e-17,9340.769389935354
QSO,2.591246,0.001475426,21.13965,0.04112566,0.02916714,21.00901,0.0528495,0.02017769,256647.6891810351,9.954011203162023e-17,9215.961464089176
QSO,1.782032,0.0003982603,20.14881,0.01952218,0.1122434,19.93733,0.02054296,0.07764947,231187.72609532846,2.4793287999193177e-16,5839.4594920307845
QSO,2.608388,0.001210233,21.0702,0.03653089,0.03400568,21.04088,0.0503487,0.02352497,257027.47406131827,1.0611532907575473e-16,8925.871907303668
QSO,0.28179040000000005,4.377865e-05,20.83458,0.03300455,0.3082694,20.1056,0.02663677,0.2132593,72933.60472379797,1.3183360413398099e-16,8008.047677003157
QSO,1.042857,0.0006686374000000001,19.52035,0.01223251,0.1670088,19.21429,0.01263074,0.1155359,183891.77474322682,4.423012076943136e-16,4372.005001568723
QSO,1.838736,0.0004509688,19.1731,0.009841506,0.1543749,19.10175,0.01154105,0.1067958,233601.57940577756,6.090011674932927e-16,3725.8953285394327
QSO,2.439176,0.000112134,19.02998,0.01029916,0.1983463,19.03274,0.01193779,0.1372151,253051.88152877174,6.948101037237443e-16,3488.242347183215
QSO,2.6403380000000003,0.0007993774,21.17734,0.03838764,0.03777117,21.06918,0.0524275,0.02612992,257722.40747615174,9.614398639271136e-17,9377.318134415491
QSO,1.50503,0.0004825506,19.45172,0.01185204,0.1854561,19.31561,0.01269163,0.1282977,217377.273320419,4.711618574292895e-16,4235.9873072186765
QSO,1.1593440000000002,0.000277679,18.83318,0.008968184,0.2180522,18.52929,0.008716213,0.1508475,193910.48054152558,8.328870799531361e-16,3186.0064457796407
QSO,1.51309,0.0001798644,22.09326,0.08392844,0.08745488,21.86572,0.1017983,0.06050088,217832.92408348268,4.1357485409580636e-17,14297.583781158273
QSO,3.50345,0.0013579120000000002,22.38384,0.1046604,0.1566059,21.38764,0.06061919,0.1083392,271617.88105703436,3.164624057018465e-17,16344.763844653355
QSO,1.1865370000000002,0.0003330844,20.975,0.02751249,0.05622837,20.41143,0.02414923,0.03889853,196074.98373136506,1.1583988699934336e-16,8543.004794752253
QSO,1.691491,0.0008392836999999999,20.57893,0.03055442,0.04893452,20.64303,0.04078351,0.03385267,227063.6962392993,1.668346002994272e-16,7118.633763498739
QSO,0.8395188,0.0001385442,21.53611,0.05096383,0.02586956,21.15097,0.0499325,0.01789644,163020.50381019377,6.908983017941939e-17,11061.974426367573
QSO,1.533662,0.0004647399,19.83509,0.0145306,0.13968270000000002,19.341,0.0131811,0.09663187,218979.80057077837,3.3099552726452834e-16,5053.923340405555
QSO,0.7295387,0.000208968,19.19793,0.01124023,0.08922354,19.25862,0.01424106,0.06172444,149569.64892437746,5.952318000711679e-16,3768.7441044880084
QSO,1.014946,0.00035695540000000003,19.16977,0.01069862,0.140258,18.86503,0.01195071,0.09702983,181297.58820507315,6.108718677634341e-16,3720.1859661401263
QSO,2.214014,0.0005515194,20.22085,0.0203228,0.0860789,20.105220000000006,0.02518975,0.05954899,246871.8093356628,2.320161015058336e-16,6036.436689833706
QSO,2.118109,0.0004823361,19.12885,0.009815538,0.04081901,18.6502,0.008742586,0.0282384,243874.61092022664,6.343341974812611e-16,3650.7378634447073
QSO,0.6937535,8.465261999999999e-05,19.93355,0.01660755,0.09574468,19.84309,0.01975127,0.06623572,144812.9362850843,3.022999847041897e-16,5288.355597431622
QSO,2.144719,0.000331702,18.78496,0.008271706,0.09232251,18.70861,0.009030983,0.06386829,244730.40155569013,8.707111886866425e-16,3116.0373174329934
