class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,0.9452302,0.0004874617,20.89638,0.03437691,0.21591710000000006,20.48797,0.031576400000000004,0.1493704,174459.0808847944,1.2453921536410727e-16,8239.230448735594
QSO,2.4378490000000004,0.0002879826,19.67327,0.01428853,0.1650253,19.54533,0.01542,0.1141638,253018.60653184511,3.841935993023092e-16,4690.991544253144
QSO,1.386469,0.001187023,21.94681,0.08721219,0.1510328,21.53266,0.08213552,0.1044838,210238.47225253473,4.7329740705229453e-17,13365.113464950511
QSO,1.5857,0.0004538624,19.86597,0.01640313,0.1378563,19.66383,0.01803467,0.09536835,221780.87231411788,3.2171412203151617e-16,5126.307458191416
QSO,1.525278,0.0004253185,20.26741,0.02093923,0.1283154,20.02553,0.02543554,0.08876801,218515.16902007392,2.2227679454918992e-16,6167.265570421801
QSO,1.510078,0.001776003,21.64674,0.06870131,0.03171311,21.5168,0.08091477,0.02193899,217663.06841403013,6.239677235769842e-17,11640.151963389984
QSO,1.26491,0.000209081,22.03509,0.08116731,0.04315644,21.43058,0.06737261,0.02985542,201977.9741641273,4.363370842484929e-17,13919.660728615729
QSO,0.2867657,3.4271100000000005e-05,18.77665,0.008956509,0.07315880000000001,18.17725,0.007751448,0.05061092,74025.23170113142,8.77401000314751e-16,3104.1353536808792
QSO,1.218747,0.0004599602,19.96194,0.01710615,0.1772131,19.68991,0.01713199,0.1225952,198559.75660061787,2.9449784773696134e-16,5357.949921335743
QSO,2.52964,0.0003442733,21.32067,0.03725787,0.04594983,21.24371,0.0456002,0.03178788,255241.34021834136,8.425392178363498e-17,10017.160910453602
QSO,1.904875,0.0004828037,21.50574,0.04611149,0.02842116,21.51415,0.05896373,0.01966163,236265.6582144567,7.104967982828105e-17,10908.339602810747
QSO,2.326245,0.0005495172,21.00944,0.02846502,0.1256827,21.00326,0.03847884,0.0869467,250091.72873877207,1.1222306483557905e-16,8679.578794704265
QSO,0.4881946,0.0001086291,21.17944,0.03634852,0.03801531,20.59112,0.03000474,0.02629882,113280.31223659591,9.595820715880298e-17,9386.391191558841
QSO,1.886212,0.0004112002,20.19843,0.02039943,0.05751226,20.29183,0.02841347,0.03978672,235529.77880229207,2.368569459755198e-16,5974.43238085791
QSO,2.528027,0.0005605037,20.74888,0.02773874,0.04679858,20.34811,0.02870461,0.03237504,255203.62387731843,1.4266128291705673e-16,7698.154980093576
QSO,1.590425,0.0006472156999999999,19.0767,0.01024669,0.03376503,18.9954,0.01111643,0.02335849,222028.32621425155,6.655460729118774e-16,3564.1063135810655
QSO,2.950146,0.000362906,21.80466,0.1180653,0.08096632,21.79181,0.1597418,0.05601212,263680.8323965503,5.395033244860191e-17,12518.222028311524
QSO,1.00715,0.0007319739,20.88297,0.03445257,0.04405261,20.66439,0.03818964,0.03047539,180558.71093863784,1.2608694587315548e-16,8188.505595114977
QSO,1.738345,0.0009753541,20.94641,0.02573892,0.04211744,20.72286,0.03000613,0.02913665,229240.88255971496,1.1893074111842917e-16,8431.263261379338
QSO,3.081853,0.001332514,21.1764,0.03795915,0.06245558,20.94084,0.04329026,0.04320648,265843.8067435819,9.622726120691377e-17,9373.259703183568
QSO,3.070811,0.0004090771,21.4357,0.0463465,0.0962706,21.19208,0.04942636,0.06659956,265669.88218074164,7.57841048576688e-17,10562.109122947146
QSO,2.353513,-1.0,22.13023,0.09160559,0.19664160000000006,22.18051,0.1310705,0.1360357,250830.96075303445,3.9972943084770626e-17,14543.088605226507
QSO,2.22808,0.0002431445,18.78854,0.007926136,0.1104367,18.70374,0.008857393,0.07639958,247291.70142510117,8.678449191454324e-16,3121.178812344258
QSO,1.093065,0.0002249607,21.59747,0.07760348,0.1682079,21.17155,0.09336488,0.1163655,188364.52484493176,6.52935264613364e-17,11379.014481048618
QSO,1.450711,0.0004440211,18.45164,0.007354161,0.1037235,18.32505,0.007969448,0.07175547,214210.63519041697,1.183592283810979e-15,2672.6288375155927
QSO,1.517806,0.0007888573,21.371170000000006,0.04903729,0.08703261,21.17029,0.05525454,0.06020875,218097.87241653743,8.042482511652239e-17,10252.851096648526
QSO,3.248667,0.000250137,21.29024,0.0423992,0.07928722,21.05087,0.04522237,0.05485053,268320.1192505522,8.664871473875085e-17,9877.764098823402
QSO,1.7915330000000005,0.0009714265,20.9523,0.03646188,0.05254743,20.99158,0.05210914,0.03635206,231600.9033002518,1.182873017453331e-16,8454.163645254108
QSO,0.5855661999999999,0.0001625442,19.84558,0.01529549,0.1531484,19.83904,0.01915913,0.1059473,129165.97146560017,3.2781296446112513e-16,5078.397018587751
QSO,2.489302,0.0002425742,21.78226,0.0639908,0.2479608,21.096770000000006,0.04693398,0.1715381,254283.95555522898,5.5074951731810766e-17,12389.753047602693
