class,redshift,redshift_err,green_mag,green_err,green_ext,red_mag,red_err,red_ext,velocity,Flux,distance
QSO,0.5561173,7.921031e-05,18.37405,0.0066265690000000006,0.14344110000000002,18.45823,0.008030866999999999,0.09923189,124552.14475742547,1.271270956518221e-15,2578.817745917664
QSO,3.4256260000000003,0.0009882081,20.76694,0.02935708,0.08232863,20.20783,0.02739166,0.05695457,270666.833986309,1.4030790020939067e-16,7762.447038733618
QSO,1.094558,0.0004344035,21.47511,0.05141623,0.1957706,21.23512,0.0535442,0.1354332,188493.8433035191,7.308262283675336e-17,10755.550657946733
QSO,0.2901586,2.679139e-05,19.60482,0.01805682,0.06882126,18.83719,0.01382746,0.04761023,74766.05800107647,4.0919481798858413e-16,4545.426610290707
QSO,2.889584,0.0002950981,19.80815,0.01810696,0.1093141,19.56684,0.01741028,0.07562297,262617.80469456344,3.3931114539465984e-16,4991.61004617906
QSO,2.788131,0.0003374277,18.57141,0.007835374,0.09923735,18.38811,0.008219411999999999,0.06865194,260731.3897637659,1.0599713459474146e-15,2824.1818010031902
QSO,0.6684671,0.0006148646,20.74286,0.03130803,0.05511952,20.69709,0.04348567,0.03813143,141330.67491941756,1.4345448318602557e-16,7676.8428447840515
QSO,0.7140167,0.000146325,20.3191,0.02280865,0.06078333,20.08141,0.02347654,0.04204963,147530.583761044,2.1194253532602247e-16,6315.833174702756
QSO,2.157025,0.0002007416,19.47937,0.01253539,0.05319538,19.53683,0.01515092,0.03680031,245119.76027068513,4.593144676588287e-16,4290.270252564853
QSO,2.248418,0.0006164377,21.01251,0.03502563,0.04488273,21.04002,0.04910898,0.03104967,247890.31782177548,1.119061939589143e-16,8691.858550950374
QSO,0.9594572,0.0003069344,19.8454,0.01513448,0.04770314,19.68901,0.01797389,0.03300081,175897.77450058676,3.2786731580801113e-16,5077.9760721489765
QSO,3.617207,0.0003428695,20.79679,0.03122577,0.1507249,19.62227,0.01822205,0.1042708,272927.6500334571,1.365029776833095e-16,7869.889782246254
QSO,1.176583,0.0004669273000000001,19.92783,0.0184546,0.04390127,19.70166,0.01876056,0.0303707,195289.88730287555,3.038967987212904e-16,5274.44356796604
QSO,2.156278,0.0007053567,20.4378,0.02179833,0.0532146,20.23864,0.02448604,0.03681361,245096.23934858947,1.8999322961691287e-16,6670.688333490355
QSO,1.923252,0.0005851182,21.57929,0.05057558,0.06301761,21.58294,0.09378839,0.0435953,236978.456038556,6.639603194350215e-17,11284.144790986957
QSO,3.217218,0.0002159849,20.09525,0.016762,0.08384731,19.76029,0.01545999,0.05800518,267874.05368844495,2.6047024899865505e-16,5697.189301967216
QSO,1.4403700000000002,0.0009565703,21.67788,0.0704475,0.02907294,21.63704,0.09369737,0.02011252,213588.29699483156,6.063259071454242e-17,11808.280202360756
QSO,2.606702,0.000191363,19.642570000000006,0.01381445,0.02612635,19.4815,0.01506818,0.01807409,256990.3374541638,3.9521200219178993e-16,4625.137518846311
QSO,1.387262,0.0002242839,19.20332,0.01025899,0.09008713,18.96749,0.01096541,0.06232186,210289.07857571903,5.922841697426341e-16,3778.110450795088
QSO,2.589934,0.0003716604,21.31438,0.05420918,0.08627431,21.24799,0.07425930000000001,0.05968417,256618.4187055195,8.474344698868912e-17,9988.186665210038
QSO,2.032483,0.0007791704,19.40433,0.01157219,0.1008442,19.22811,0.01249777,0.06976354,240986.291724409,4.921824516089746e-16,4144.543002587476
QSO,2.211024,0.0004149202,18.50214,0.007270431,0.1366934,18.32633,0.007939126999999999,0.09456389,246781.92510217402,1.1298014432991548e-15,2735.5121628384786
QSO,1.7074599999999998,0.001065984,19.73104,0.01363081,0.1091952,19.72769,0.01656705,0.07554077,227816.41127484172,3.642857015222457e-16,4817.4659098334205
